Variants,Redewendung,Bedeutung,Beispiele
"['keinen Pfifferling für etwas geben', 'keinen Pfifferling auf etwas geben']",keinen Pfifferling für/auf etwas geben,etwas für völlig wertlos bzw. nutzlos halten,"['Auf deine Meinung gebe ich keinen Pfifferling.', 'Anleger geben keinen Pfifferling mehr für die Jungunternehmen, die eben noch als unsere Zukunft galten.']"
"['sich keinen Pfifferling um etwas kümmern', 'sich keinen Pfifferling um etwas scheren']",sich keinen Pfifferling um etwas kümmern/scheren,sich um etwas überhaupt nicht kümmern,"['Sie kümmerte sich keinen Pfifferling darum, wie es ihren Eltern ging. Er schert sich keinen Pfifferling um das, was die Leute sagen.']"
['pflanz deine Großmutter!'],pflanz deine Großmutter!,"halt jemand anderen zum Narren, aber nicht mich","['Ja, das wären dann eben Klubabende, ein Klub muss doch Abende haben, oder nicht? – Pflanz deine Großmutter!']"
"['ein heißes Pflaster sein', 'ein teures Pflaster sein']","ein heißes, teures Pflaster sein","ein Ort sein, wo das Leben gefährlich, teuer ist","['Die Kooperation mit der Bundespolizei zahlt sich aus Es hat sich bei den Tätern herumgesprochen, dass Bonn für sie ein heißes Pflaster ist', 'München ist schon lange ein teures Pflaster zum Wohnen']"
['Pflaster treten'],Pflaster treten,lange in der Stadt herumlaufen,"['Ich habe keine Lust, den ganzen Vormittag Pflaster zu treten.']"
"['auf dem Pflaster liegen', 'auf dem Pflaster sitzen']",auf dem Pflaster liegen/sitzen,arbeitslos sein,['Seit zwei Jahren liegt er nun schon auf dem Pflaster.']
['jemandem eine pflastern'],jemandem eine pflastern,jemandem eine Ohrfeige geben,"['Ich werd dir eine pflastern, wenn du nicht gleich die Füße vom Tisch nimmst!']"
['die ersten Pflaumen sind madig'],die ersten Pflaumen sind madig,"Kommentar beim Kartenspiel zu den ersten Gewinnen, da diese für den Spielverlauf noch nicht entscheidend sind","['Du scheinst ja heute ein gutes Blatt zu haben. – Warten wir’s ab, die ersten Pflaumen sind madig.']"
['die Pflicht ruft'],die Pflicht ruft,"eine Aufgabe, Arbeit wartet auf Erledigung","['Die Pflicht ruft, ich muss mich leider verabschieden.']"
['jemandes Pflicht und Schuldigkeit'],jemandes Pflicht und Schuldigkeit,jemandes selbstverständliche Pflicht,"['Es ist deine verdammte Pflicht und Schuldigkeit, dich um deine Kinder zu kümmern! dem Nachwuchs eine Chance geben Das ist unsere Pflicht und Schuldigkeit.']"
['jemanden in die Pflicht nehmen'],jemanden in die Pflicht nehmen,"dafür sorgen, dass jemand eine bestimmte Pflicht übernimmt","['Tatsächlich waren es engagierte Bürger, die die Regierung in die Pflicht nahmen, sich um die von Verfall und Immobilienspekulation bedrohten Häuser zu bemühen.']"
['jemanden in Pflicht nehmen'],jemanden in Pflicht nehmen,"(ein Ratsmitglied, einen höheren Beamten) ins Amt einsetzen",['Das neue Mitglied wird mit feierlicher Vereidigung in Pflicht genommen.']
['in der Pflicht stehen'],in der Pflicht stehen,zu etwas verpflichtet sein,"['Auch Bundestagspräsident Wolfgang Thierse erinnerte die Unternehmen daran, dass sie in der Pflicht stünden, Arbeitsplätze zu schaffen.']"
"['einen Pflock zurückstecken', 'ein paar Pflöcke zurückstecken']",einen Pflock/ein paar Pflöcke zurückstecken,"geringere Forderungen, Ansprüche stellen","['Wir mussten alle ein paar Pflöcke zurückstecken, als die Geschäfte schlecht gingen.']"
"['unter den Pflug kommen', 'unter dem Pflug sein']",unter den Pflug kommen/unter dem Pflug sein,als Ackerland bestellt werden,['Nächstes Jahr wird auch das Land auf der anderen Seite des Flusses unter den Pflug kommen.']
['seine Pforten öffnen'],seine Pforten öffnen,eröffnet werden,['Am Februar öffnet das neue Hallenbad seine Pforten.']
['seine Pforten schließen'],seine Pforten schließen,"geschlossen werden, den Betrieb einstellen","['Das Theater hat im vergangenen Jahr seine Pforten geschlossen.', 'Eine der ältesten Privatschulen der Welt muss am Ende des Sommersemesters ihre Pforten schließen. Himmel.']"
['zwischen den Pfosten stehen'],zwischen den Pfosten stehen,als Torhüter spielen,['An diesem Tag wird er in seinem 75. Länderspiel zwischen den Pfosten stehen.']
['sich die Pfoten verbrennen'],sich die Pfoten verbrennen,Schaden erleiden,"['Einmal gebissen, einmal aufs Heiße gelangt, die Pfoten verbrannt – schon haben wir’s begriffen Machen den einen Fehler nicht noch ein zweites Mal', 'Ob Spitzenreiter oder Kellerkind – sie alle verbrannten sich die Pfoten beim Versuch, Fußballgöttern in Rot zu entkommen oder entscheidenden Widerstand zu leisten']"
['seine Pfoten überall drinhaben'],seine Pfoten überall drinhaben,"überall beteiligt sein, Einfluss haben",['Der Konzern hat hier in der Stadt überall seine Pfoten drin.']
"['jemandem auf die Pfoten klopfen', 'jemandem eins auf die Pfoten geben']",jemandem auf die Pfoten klopfen/eins auf die Pfoten geben,"jemanden warnend, scharf zurechtweisen",['Diesen Kredithaien muss man mal auf die Pfoten klopfen.']
['sich etwas aus den Pfoten saugen'],sich etwas aus den Pfoten saugen,einen Sachverhalt frei erfinden,"['Die Geschichte ist zu schön, um wahr zu sein; die hat er sich aus den Pfoten gesogen!']"
['jemanden am Pfropfen riechen lassen'],jemanden am Pfropfen riechen lassen,jemanden an etwas Angenehmem nicht teilhaben lassen,"['Bis jetzt hat man uns immer nur am Pfropfen riechen lassen; es wird Zeit, dass wir endlich an den Einnahmen beteiligt werden.']"
['sein Pfund vergraben'],sein Pfund vergraben,"seine Fähigkeiten, Möglichkeiten nicht nutzen","['Doch im nächsten Punktspiel zeigte sich, dass die Mannschaft die Zeichen der Zeit erkannt hatte. Keinem Spieler konnte man den Vorwurf machen, er habe im Spiel sein Pfund vergraben.']"
"['mit seinem Pfunde wuchern', 'mit seinen Pfunden wuchern']",mit seinem Pfunde/mit seinen Pfunden wuchern,"seine Fähigkeiten, Möglichkeiten klug nutzen","['vielleicht war die Energie, die er ein Leben lang aufbrachte, um mit seinem Pfunde zu wuchern, seine eigentliche Genialität.']"
['bei Philippi sehen wir uns wieder!'],bei Philippi sehen wir uns wieder!,"ich werde mich rächen, die Sache ist noch nicht abgetan!",['Du Schuft hast mich nicht umsonst der Lächerlichkeit preisgegeben; bei Philippi sehen wir uns wieder!']
['wie ein Phönix aus der Asche steigen'],wie ein Phönix aus der Asche steigen,nach scheinbar vollständigem Niedergang neu erstehen,['Nach zahllosen Niederlagen zu Beginn der Saison steigt die Mannschaft jetzt wie ein Phönix aus der Asche – die schwersten Gegner werden überzeugend geschlagen.']
['Phrasen dreschen'],Phrasen dreschen,"wohltönende, aber nichtssagende Reden führen","['Jederzeit ziehe ich solche Bilder vielen Politikervisagen vor, die ja doch meistens kaum mehr als Phrasen dreschen.']"
['Pi mal Daumen'],Pi mal Daumen,"so ungefähr, nach grober Schätzung","['Das könnte uns einiges kosten; Pi mal Daumen 10 000 Euro, würde ich sagen.']"
"['einen Piep haben', 'einen Piepmatz haben']",einen Piep/Piepmatz haben,nicht recht bei Verstand sein,"['Du hast wohl ’nen Piep, nimm deine Schuhe vom Tisch! Vier Euro die Stunde? Der hat ’n Piepmatz! Dafür rühr ich keinen Finger!']"
"['nicht Piep sagen', 'keinen Piep von sich geben']",nicht Piep sagen/keinen Piep von sich geben,kein Wort sagen; schweigen,['Er hatte in der Diskussion keinen Piep von sich gegeben. die Ziege von Schwiegertochter sagte den ganzen Weg nicht Piep.']
"['keinen Piep mehr sagen', 'keinen Piep mehr machen', 'keinen Piep mehr tun']",keinen Piep mehr sagen/machen/tun,tot sein,['Da lag der arme Kerl nun und machte keinen Piep mehr.']
['bei jemandem piepts'],bei jemandem piepts,jemand ist nicht recht bei Verstand,"['Ich hab mir sagen lassen, du wärest ein Spitzel geworden. Bei dir piepts wohl', 'Ey Opa! Du kannst doch nicht einfach hier vor die Bude pinkeln! Bei dir piepts wohl?']"
['zum Piepen'],zum Piepen,"sehr komisch, zum Lachen","['Nein, wie hätten sie gelacht! Die geborene Schauspielerin, und alles so aus dem Stegreif. Zum Piepen.']"
"['jemandem piepe sein', 'jemandem piepegal sein']",jemandem piepe/piepegal sein,jemandem völlig gleichgültig sein,"['Lauterbach gehört zu den paar Angestellten, denen es piepe ist, ob sie eine Stellung haben oder nicht', 'denn kann es Ihnen doch genauso piepe sein wie mir, was die jungen Leute treiben']"
['einen pietschen'],einen pietschen,Alkohol trinken,['Musst du denn schon am frühen Morgen einen pietschen?']
['einen Pik auf jemanden haben'],einen Pik auf jemanden haben,"jemanden nicht mögen, nicht leiden können","['Dänen und Schweden, das sei schon immer Hieb und Stich gewesen Die Norweger ihrerseits hätten einen Pik auf die Dänen.']"
['etwas von der Pike auf lernen'],etwas von der Pike auf lernen,etwas von Grund auf erlernen,"['Sie werden alles von der Pike auf lernen, Setzerei, Redaktion, Vertrieb und so weiter.']"
['von der Pike auf dienen'],von der Pike auf dienen,eine Laufbahn auf der untersten Stufe beginnen,"['Die Firma war bei ihm in guten Händen, denn er hatte von der Pike auf gedient. er hatte acht Jahre straffrei gedient, von der Pike auf.']"
['wie Piksieben'],wie Piksieben,"unbeweglich, starr; verblüfft od. verunsichert","['Sie guckte mich an wie Piksieben, als sie das Geld in der Schublade entdeckt hatte.', 'Dass, wer dasteht wie Piksieben und die Flinte führt wie einen Besenstiel, von Balance weder weiß, noch sie erfühlen kann, ist eine Binsenwahrheit.']"
['da helfen keine Pillen'],da helfen keine Pillen,"bei jemandem ist alle Mühe vergebens, jemand ist ein hoffnungsloser Fall",['Jetzt hat er schon sein drittes Auto in den Graben gefahren – da helfen keine Pillen!']
['eine bittere Pille für jemanden sein'],eine bittere Pille für jemanden sein,"für jemanden sehr unangenehm, sehr schwer hinzunehmen sein",['Die Wahlniederlage war eine bittere Pille für die Partei.']
['die bittere Pille schlucken'],die bittere Pille schlucken,sich mit etwas Unangenehmem abfinden,['Die Regierung hat schließlich die bittere Pille geschluckt und sich dem Antrag der Opposition angeschlossen.']
['jemandem eine bittere Pille zu schlucken geben'],jemandem eine bittere Pille zu schlucken geben,"jemandem etwas Unangenehmes mitteilen, zumuten","['Hindenburg gab Hitler noch eine bittere Pille zu schlucken Er behielt sich vor, den Außenminister und den Wehrminister ganz nach seinem Wunsche zu berufen.']"
['jemandem eine bittere Pille versüßen'],jemandem eine bittere Pille versüßen,"jemandem etwas Unangenehmes ein wenig angenehmer, erträglicher machen","['Mit einer einmaligen finanziellen Unterstützung versuchte die Firma, ihm die bittere Pille seiner Kündigung zu versüßen.']"
"['wie Pilze aus dem Boden schießen', 'wie Pilze aus dem Boden wachsen', 'wie Pilze aus der Erde schießen', 'wie Pilze aus der Erde wachsen', 'wie Schwammerln aus dem Boden schießen', 'wie Schwammerln aus dem Boden wachsen', 'wie Schwammerln aus der Erde schießen', 'wie Schwammerln aus der Erde wachsen']",wie Pilze/wie Schwammerln aus dem Boden/aus der Erde schießen/wachsen,"binnen kürzester Zeit in großer Zahl entstehen, in großer Anzahl plötzlich da sein","['An der spanischen Mittelmeerküste schossen die Hotels wie Pilze aus dem Boden. wie Pilze wachsen die Polizei aus dem Boden, bilden mit gezückten Pistolen einen Kreis', 'an den steirischen Grenzen werden Öko-Kraftwerke wie Schwammerln aus dem Boden schießen, denn Es kommt kein Atomstrom in die Steiermark']"
['in der Pipeline'],in der Pipeline,"in Vorbereitung, Planung","['habe die Thyssen-Krupp, Düsseldorf, eine starke Finanzierungskraft für weitere Akquisitionen. Aktuell sind allerdings noch keine Zukäufe in der Pipeline', 'Zudem ist eine Neuheit in der Pipeline Gemäß Händlern plant France Te´le´com, eine Anleihe mit 5 Jahren Laufzeit über mindestens 500 Mio. Fr. aufzulegen']"
['Pipi in den Augen'],Pipi in den Augen,Tränen in den Augen,"['Die Leute standen da und hatten Pipi in den Augen – ein ganzes Tränenmeer war das', 'Alle hatten vor Glück Pipi in den Augen']"
['Pipi machen'],Pipi machen,die Blase entleeren,"['Sie musste so schrecklich lachen über unser absurdes Lied, dass sie Pipi machen musste.']"
['die kalte Pisse kriegen'],die kalte Pisse kriegen,lange Zeit warten müssen,"['Bis man hier an die Reihe kommt, kriegt man die kalte Pisse!']"
['auf die Piste gehen'],auf die Piste gehen,ausgehen,"['Während meine Freunde jeden Tag auf die Piste gingen und jeden Abend ziemlich betrunken zurück in die Pension kamen, machte ich meistens mein eigenes Programm.']"
['jemandem die Pistole auf die Brust setzen'],jemandem die Pistole auf die Brust setzen,jemanden ultimativ zu einer Entscheidung zwingen,"['Ich werde über Ihr Angebot nachdenken, aber ich lasse mir nicht die Pistole auf die Brust setzen.']"
['wie aus der Pistole geschossen'],wie aus der Pistole geschossen,"prompt, ohne Zögern","['Wie aus der Pistole geschossen nannte sie den richtigen Namen. Und wann werden Sie in diesem Hause singen? Wenn man Pavels erste Oper spielt, antwortete sie wie aus der Pistole geschossen.']"
['Plan B'],Plan B,"die Alternative, wenn ein Vorhaben sich nicht in der geplanten Weise durchführen lässt","['Falls das Referendum nicht durchgeht oder verhindert wird, liegt ein vor allem auf Einnahmeerhöhungen beruhender Plan B bereit.']"
['keinen Plan haben'],keinen Plan haben,"keine Ahnung, Vorstellung, keine Kenntnisse haben","['Ich fand das eine ziemlich blöde Aussage, uns zu unterstellen, dass wir keinen Plan von der ganzen Materie hätten', 'Mich nerven diese Kommentare von Leuten, bei denen man merkt, dass sie einfach keinen Plan von mir und meiner Musik haben']"
"['einen Plan schmieden', 'Pläne schmieden']",einen Plan/Pläne schmieden,"ein Vorhaben planen, sich ein Vorhaben überlegen","['Wir sollten dafür endlich einen konkreten Plan schmieden und die Gewährung von Fördermitteln prüfen', 'Erst wenn die Gespräche erfolgreich verlaufen, können weitere Pläne geschmiedet werden']"
['jemanden auf den Plan rufen'],jemanden auf den Plan rufen,jemanden zum Handeln herausfordern,['Einige anonyme Anrufe hatten schließlich sogar den Verfassungsschutz auf den Plan gerufen. Natürlich rief der Justizmord von Eldagsen wiederum alle Gegner der Laienrechtsprechung auf den Plan.']
['auf den Plan treten'],auf den Plan treten,in Aktion treten,"['Plötzlich trat eine Großmacht auf den Plan.', 'Herr Rehbein tritt selbst auf den Plan, öffnet eine der beiden Türen.']"
['auf dem Plan stehen'],auf dem Plan stehen,geplant sein,['Als Nächstes steht eine Reise nach Sizilien auf dem Plan.']
['platt sein'],platt sein,"völlig überrascht, verblüfft sein","['Sie war platt wie ein Pfannkuchen, als das neue Auto vor der Tür stand.', 'Also Kemal hätte glatt für ein Mädchen durchgehen können. Der sah so echt aus. Richtig platt waren wir.']"
['die Platte kennen'],die Platte kennen,"schon wissen, worauf etwas hinausläuft; etwas schon einmal gehört haben","['Wie Herr Herrfurth Worte über die seelische Rohheit der jüngeren Generation hervorstieß, da glaubte man ihm. Manfred stand auf. Die Platte kenn ich.']"
"['die alte Platte auflegen', 'die alte Platte laufen lassen', 'die alte Platte spielen']",die alte Platte auflegen/laufen lassen/spielen,"immer dasselbe reden, erzählen","['Nur die Sozialverbände und die Opposition spielten immer noch die alte Platte', 'Erst gestern referierte Andor wieder einmal in Berlin – und legte einmal mehr die alte Platte auf']"
"['eine neue Platte auflegen', 'eine andere Platte auflegen']",eine neue/andere Platte auflegen,"das Thema wechseln, von etwas anderem reden, erzählen","['Du hängst dir einen Haufen Arbeit und Ärger an den Hals und kriegst dafür keine Mark mehr im Monat. Hör auf, Angelika, leg eine andere Platte auf.']"
['die Platte putzen'],die Platte putzen,sich entfernen,"['Lasst uns die Platte putzen, hier ist doch nichts mehr los.', 'Putzt die Platte, sagt Pranke.']"
['Platte machen'],Platte machen,(von Nichtsesshaften) im Freien auf der Straße nächtigen,"['Gehen die Temperaturen runter, kümmern sich seitdem zwischen sechs und acht Ehrenamtler um die, die Platte machen', 'Als obdachlos gilt, wer auf der Straße schläft, also Platte macht']"
['jemanden auf die Platte bannen'],jemanden auf die Platte bannen,jemanden fotografieren,['Er wollte das Brautpaar vor der Kirchentür auf die Platte bannen.']
['nicht auf die Platte kommen'],nicht auf die Platte kommen,"nicht zugelassen, erlaubt werden","['Dass du um diese Zeit allein zum Bahnhof gehst, kommt nicht auf die Platte!']"
['hell auf der Platte sein'],hell auf der Platte sein,"schlau, gewitzt sein","['Wenn du glaubst, sie ließe sich um den Finger wickeln, hast du dich geirrt; die ist hell auf der Platte– und wie!']"
