Variants,Redewendung,Bedeutung,Beispiele
"['jemanden in die ewigen Jagdgründe befördern', 'jemanden in die ewigen Jagdgründe schicken']",jemanden in die ewigen Jagdgründe befördern/schicken,jemanden töten,"['Er hatte keine Lust, sich von einem Fanatiker in die ewigen Jagdgründe befördern zu lassen.']"
"['einen Jagdschein haben', 'den Jagdschein haben']",einen/den Jagdschein haben,gerichtlich für unzurechnungsfähig erklärt worden sein,"['Den Vereinsboss wird keiner wegen Betrugs verurteilen, der hat ja den Jagdschein.']"
"['jahraus, jahrein', 'jahrein, jahraus']","jahraus, jahrein/jahrein, jahraus","jedes Jahr wieder, über einen längeren Zeitraum in der gleichen Weise ohne Unterbrechung","['Unbeirrt arbeitete der Ingenieur jahrein, jahraus an der Verwirklichung seines Planes. man haust so jahraus, jahrein in der Steppe, und niemand bemerkt, wie man sich abplagen muss.']"
"['Jahrmarkt der Eitelkeit', 'Jahrmarkt der Eitelkeiten']",Jahrmarkt der Eitelkeit/der Eitelkeiten,"Ereignis, bei dem sich bestimmte Personen wichtigtuerisch zur Schau stellen, sich selbstgefällig ins rechte Licht zu rücken versuchen","['Diese Veranstaltung ist doch nichts als ein Jahrmarkt der Eitelkeiten.', 'Was sich an den Empfängen der großen Häuser rund um die kalten Buffets abspielt, ist dennoch nach wie vor ein knallbunter Jahrmarkt der Eitelkeit.']"
"['von jetzt auf gleich', 'von jetzt auf nachher']",von jetzt auf gleich/nachher,von einem Augenblick zum anderen,['Wo soll ich denn von jetzt auf gleich das Geld hernehmen?']
"['Jugend hat keine Tugend', 'Jugend kennt keine Tugend']",Jugend hat/kennt keine Tugend,"junge Menschen sind oft sehr rasch bereit, sich über moralische Bedenken hinwegzusetzen","['Nicht verheiratet und ziehen in eine gemeinsame Wohnung? Ich sags ja Jugend hat keine Tugend!, und schüttelte ihr greises Haupt.']"
"['war jung und brauchte das Geld', 'war jung und brauchten das Geld', 'waren jung und brauchte das Geld', 'waren jung und brauchten das Geld']", war/waren jung und brauchte/brauchten das Geld,"... hat/haben in der Jugend aus finanziellen Gründen etwas nicht sehr Angesehenes, aus heutiger Sicht eher Peinliches gemacht","['Er war jung und brauchte das Geld. Mit billiger Erotik verdiente er sich ein paar Euro, mit Striptease und mit schmutzigem Telefonsex', 'Ich war jung und brauchte das Geld, als ich 1973 durch den Studentenschnelldienst der Frankfurter Uni zu einem Job bei der internationalen Immobilienberatung kam']"
"['du fehlst mir noch in meiner Käfersammlung', 'du fehlst mir noch in meiner Raupensammlung', 'er fehlt mir noch in meiner Käfersammlung', 'er fehlt mir noch in meiner Raupensammlung']",du fehlst/er fehlt mir noch in meiner Käfersammlung/Raupensammlung,du kommst/er kommt mir äußerst ungelegen,['Ein Herr von der Presse möchte Sie sprechen. – Die Zeitungsfritzen haben mir gerade noch gefehlt in meiner Käfersammlung!']
"['dir hat wohl jemand was in den Kaffee getan?', 'dir haben sie wohl was in den Kaffee getan?']",dir hat wohl jemand/dir haben sie wohl was in den Kaffee getan?,du bist wohl nicht recht bei Verstand?,"['Dir haben sie wohl was in den Kaffee getan, die Zigarettenasche auf den Teppich zu schnippen?']"
"['dorthin gehen, wo der Kaiser zu Fuß hingeht', 'dort sein, wo der Kaiser zu Fuß hingeht']","dorthin gehen/dort sein, wo der Kaiser zu Fuß hingeht",auf die Toilette gehen/auf der Toilette sein,"['Wo ist denn Paulchen geblieben? – Der ist dort, wo auch der Kaiser zu Fuß hingeht.']"
"['einen Kaktus pflanzen', 'einen Kaktus setzen']",einen Kaktus pflanzen/setzen,seine große Notdurft verrichten,"['Genau vor seine Haustür hatte jemand einen Kaktus gepflanzt. Vorsicht, da hat jemand einen Kaktus gesetzt!']"
"['sich etwas im Kalender anstreichen', 'sich etwas im Kalender ankreuzen']",sich etwas im Kalender anstreichen/ankreuzen,"sich etwas, einen bestimmten Tag als bemerkenswert einprägen oder notieren","['Haben Sie ihn schon mal vergessen, den Hochzeitstag? Für die Beziehung wäre es besser, wenn er im Kalender rot angestrichen ist', 'Die Theaterferien neigen sich dem Ende zu, im September beginnt die neue Spielzeit. Und wer die Glanzpunkte nicht verpassen möchte, kann sich die Termine schon jetzt im Kalender ankreuzen']"
"['kalte Ente', 'Kalte Ente']",kalte/Kalte Ente,bowlenartiges Getränk mit Zitronenscheiben,['Es gibt eine Kaffeetafel im Freien und nach Eintreten der Dunkelheit ein Lampionfest mit kalter Ente.']
"['kalter Krieg', 'Kalter Krieg']",kalter/Kalter Krieg,"Politik, bei der der Konflikt zwischen zwei Staaten oder Machtblöcken mit allen Mitteln, außer mit direkter militärischer Konfrontation, ausgetragen wird","['Ihr Interesse musste darauf gerichtet sein, sich unter allen Umständen aus dem Kalten Krieg herauszuhalten', 'Und den Iran haben die USA zwar im vergangenen Jahr offiziell von ihrer inoffiziellen Schurkenstaaten-Liste gestrichen, doch zwischen beiden Ländern herrscht immer noch kalter Krieg']"
"['alte Kamellen', 'olle Kamellen']",alte/olle Kamellen,"altbekannte Geschichten, längst Bekanntes","['Das sind doch alles alte Kamellen, was der Oppositionsführer da von sich gibt.', 'Was da jetzt als großer Hammer deklariert wird, sind doch in Wirklichkeit olle Kamellen.']"
"['jemandem, einer Sache den Kampf ansagen', 'jemandem, einer Sache den Krieg ansagen']","jemandem, einer Sache den Kampf/Krieg ansagen","deutlich machen, dass gegen jemanden, etwas energische Maßnahmen ergriffen werden",['Die Bundesbank hat der Inflation den Kampf angesagt. Eine Gruppe mutiger Journalisten hatte den Mafiabossen den Kampf angesagt.']
"['jemandem die Kandare anlegen', 'jemandem die Kandare anziehen']",jemandem die Kandare anlegen/anziehen,"jemanden streng behandeln, jemandes Freiheit einschränken","['Wenn die Burschen zu übermütig werden, muss man ihnen mal ein bisschen die Kandare anlegen.', 'Geld hätte er mir keins gegeben. dem Ollen ziehn wir die Kandare an, der muss blechen, bis ihm die Luft ausgeht.']"
"['jemanden an der Kandare haben', 'jemanden an der Kandare halten']",jemanden an der Kandare haben/halten,"jemanden unter Kontrolle halten, jemandem keine Freiheit lassen","['die werden uns an der Kandare halten, verlass dich drauf', 'Die oben haben uns nicht schlecht an der Kandare']"
"['eine heiße Kanne blasen', 'eine heiße Kanne spielen', 'eine stolze Kanne blasen', 'eine stolze Kanne spielen', 'eine coole Kanne blasen', 'eine coole Kanne spielen']","eine heiße, stolze, coole Kanne blasen/spielen",hervorragend Saxofon spielen,"['Der Typ spielt echt ’ne coole Kanne!', 'Klare Sache, dass es sich das Geburtstagskind nicht nehmen ließ, bei einigen SwingKlassikern selbst eine heiße Kanne auf dem Tenorsaxofon zu spielen.']"
"['zu tief in die Kanne gucken', 'zu tief in die Kanne schauen']",zu tief in die Kanne gucken/schauen,zu viel Alkohol trinken,"['Er hatte zu tief in die Kanne geguckt und fühlte sich hundeelend. gießen, voll.']"
"['mit Kanonen nach Spatzen schießen', 'mit Kanonen auf Spatzen schießen']",mit Kanonen nach/auf Spatzen schießen,gegen etwas relativ Geringfügiges mit unverhältnismäßig harten Maßnahmen vorgehen,"['Schwarzfahrer jedoch ins Gefängnis zu stecken, erinnert an den alten Spruch, mit Kanonen auf Spatzen zu schießen', 'Ich würde von den von mir gewählten Repräsentanten wünschen, statt mit Kanonen auf Spatzen zu schießen, die notwendigen deutlichen Worte im Dialog zu platzieren']"
"['jemanden am Kanthaken kriegen', 'jemanden am Kanthaken nehmen', 'jemanden am Kanthaken packen', 'jemanden beim Kanthaken kriegen', 'jemanden beim Kanthaken nehmen', 'jemanden beim Kanthaken packen']",jemanden am/beim Kanthaken kriegen/nehmen/packen,"sich jemanden vornehmen, jemanden zur Rede stellen","['Stinkfaul und frech wie Rotz! Der Bengel muss mal beim Kanthaken gepackt werden.', 'Ich werd mal zum Röntgen gehen, bevor mich Dr. Lehmann ernstlich am Kanthaken kriegt.']"
"['auf jemandes Kappe gehen', 'auf jemandes Kappe kommen']",auf jemandes Kappe gehen/kommen,von jemandem zu verantworten sein,"['Die Fehlplanung im Konstruktionsbereich geht auf die Kappe des Ingenieurs, nicht des Architekten.', 'Dass man sich hier traf, ging auf Inges Kappe Wahrscheinlich meinte sie’s gut.']"
"['mit Karacho', 'im Karacho']",mit/im Karacho,"mit großem Tempo, mit Rasanz","['Verschwinde, aber mit Karacho!', 'Mann, wär ich gern Rennfahrer geworden, so mit Karacho über die Avus.']"
"['die Karre ist verfahren', 'die Karre steckt im Dreck']",die Karre ist verfahren/steckt im Dreck,die Situation scheint ausweglos,"['Es ist schwer, in Kall Traditionen hochzuhalten, die Karre ist verfahren, klagt der Ortsvorsteher, der sich in seinem Bemühen um die Erhaltung des Kirmesbrauchs alleingelassen fühlt', 'Die Karre steckt im Dreck. Um sie wieder loszubekommen, muss man jetzt auch unpopuläre Maßnahmen treffen']"
"['die Karre aus dem Dreck ziehen', 'den Karren aus dem Dreck ziehen']",die Karre/den Karren aus dem Dreck ziehen,"eine verfahrene Angelegenheit bereinigen, etwas wieder in Ordnung bringen","['Aber sie waren dazu da, um in Landtagsreden erwähnt zu werden, wo man ihnen die Rolle zuwies, die Karre aus dem Dreck zu ziehen, wenns schiefgegangen wäre', 'Immer sollen wir die Karre aus dem Dreck ziehen, die ihr in eurer Dummheit reinfahrt']"
"['die Karre in den Dreck fahren', 'den Karren in den Dreck fahren']",die Karre/den Karren in den Dreck fahren,eine Sache gründlich verderben,"['wenn ich mich recht erinnere, war es ein Fräulein namens Eva, die damals den Karren in den Dreck fuhr. Karren.']"
"['den Karren laufen lassen', 'die Karre laufen lassen']",den Karren/die Karre laufen lassen,sich nicht um etwas kümmern,"['Man lässt den Karren laufen, um nicht ins linke oder rechte Eck geschoben zu werden', 'Obwohl Spitzenbeamte seines Ministeriums im Aufsichtsrat der Landesbank saßen und er über die Vorgänge in der Landesbank informiert sein musste, ließ er den Karren laufen']"
"['jemandem an den Karren fahren', 'jemandem an den Karren pinkeln', 'jemandem an den Karren pissen', 'jemandem an die Karre fahren', 'jemandem an die Karre pinkeln', 'jemandem an die Karre pissen']",jemandem an den Karren/die Karre fahren/pinkeln/pissen,"jemandem durch seine Äußerungen, Handlungen schaden","['Ich passe schon auf, ich lasse mir von dem Kerl doch nicht an den Karren pinkeln. Sie merkte sehr wohl, dass ihre männlichen Kollegen ihr an den Karren fahren wollten. Ich habe ein merkwürdiges Gefühl, sagte er und trank seinen Wein aus. So, als wollte mir irgendwer an die Karre pissen.']"
"['jemandem die Karten legen', 'jemandem die Karten schlagen']",jemandem die Karten legen/schlagen,jemandem aus den Spielkarten wahrsagen,"['Soll ich Ihnen mal die Karten legen? Passen Sie auf, Ihre Zukunft ist ganz anders, als Sie denken.']"
"['die Karten aufdecken', 'seine Karten aufdecken', 'die Karten offen auf den Tisch legen', 'seine Karten offen auf den Tisch legen']",die/seine Karten aufdecken; die/seine Karten offen auf den Tisch legen,"seine wahren Absichten, Pläne erkennen lassen","['Ich beschloss, meine Karten offen auf den Tisch zu legen.']"
"['jemandem in die Karten sehen', 'jemandem in die Karten schauen', 'jemandem in die Karten gucken']",jemandem in die Karten sehen/schauen/gucken,"jemandes geheime Absichten, Pläne erkennen","['Wir wollen versuchen, diesen Herrschaften mal ein bisschen in die Karten zu sehen.']"
"['sich nicht in die Karten sehen lassen', 'sich nicht in die Karten schauen lassen', 'sich nicht in die Karten gucken lassen']",sich nicht in die Karten sehen/schauen/gucken lassen,"seine Absichten, Pläne geheim zu halten wissen",['Wir wollen uns von der Konkurrenz nicht in die Karten sehen lassen.']
"['mit offenen Karten spielen', 'mit verdeckten Karten spielen']",mit offenen/mit verdeckten Karten spielen,"ohne Hintergedanken handeln, seine Absichten erkennen lassen/heimlich handeln, seine Absichten nicht erkennen lassen","['Ich glaube, es ist besser, wenn wir mit offenen Karten spielen. Er hatte bei unserer Unterredung die ganze Zeit mit verdeckten Karten gespielt.', 'Denn wo Wilhelm Voigt mit offenen Karten spielt, da greift Robert Schneider zu gezinkten. hier ist nichts so, wie es scheint, hier spielen alle Drahtzieher und Täter mit verdeckten Karten.']"
"['wenn wir dich nicht hätten und die kleinen Kartoffeln', 'wenn wir dich nicht hätten und keine kleinen Kartoffeln']",wenn wir dich nicht hätten und die/keine kleinen Kartoffeln,"Bemerkung jemandem gegenüber, der die von ihm geleistete Hilfe überschätzt","['Du hast den Fehler wieder einmal entdeckt. Ja, ja, wenn wir dich nicht hätten und die kleinen Kartoffeln.']"
"['rin in die Kartoffeln, raus aus den Kartoffeln', 'rin in die Kartoffeln, raus aus die Kartoffeln', 'rein in die Kartoffeln, raus aus den Kartoffeln', 'rein in die Kartoffeln, raus aus die Kartoffeln']","rin/rein in die Kartoffeln, raus aus den/aus die Kartoffeln","mal lautet die Anordnung so, dann genau umgekehrt","['Erst solltest du an der Tagung teilnehmen, jetzt soll ich hinfahren. Rin in die Kartoffeln, raus aus die Kartoffeln.', 'Mit einer transparenten Ausweisung im Haushalt wollen wir sicherstellen, dass Stoibers Agrarpolitik nicht weiter nach dem Motto Rin in die Kartoffeln, raus aus die Kartoffeln läuft.']"
"['das Kartoffelwasser abgießen', 'das Kartoffelwasser abschütten', 'sein Kartoffelwasser abgießen', 'sein Kartoffelwasser abschütten']",das/sein Kartoffelwasser abgießen/abschütten,(von männlichen Personen) die Blase entleeren,['Er verschwand hinter den Sträuchern und schüttete sein Kartoffelwasser ab.']
"['die Kasse klingelt', 'die Kassen klingeln']",die Kasse klingelt/die Kassen klingeln,"es wird viel Geld eingenommen, es wird ein großer Umsatz gemacht","['Die Konsumlust der Verbraucher lässt im deutschen Einzelhandel die Kassen klingeln', 'Nach zweijähriger Talfahrt klingeln die Kassen im deutschen Einzelhandel 1998 wieder']"
"['die Kastanien aus dem Feuer holen', 'die Kartoffeln aus dem Feuer holen']",die Kastanien/Kartoffeln aus dem Feuer holen,eine unangenehme Aufgabe erledigen,"['du verbrennst dir an der Sache die Finger, weil sie dich allein die Kastanien aus dem Feuer holen lassen', 'Wenn es gefährlich wird, holen französische Soldaten die Kastanien aus dem Feuer']"
"['jemanden im Kasten haben', 'etwas im Kasten haben']",jemanden/etwas im Kasten haben,jemanden fotografiert haben; etwas abgedreht haben,"['Jetzt kannst du aus der Konservendose raus, Kleiner, wir haben dich fünfmal im Kasten.']"
"['das trägt die Katze auf dem Schwanz fort', 'das trägt die Katze auf dem Schwanz weg']",das trägt die Katze auf dem Schwanz fort/weg,"das ist sehr wenig, nur eine Kleinigkeit","['Was du gegessen hast, das trägt ja die Katze auf dem Schwanz fort. Das soll eine gute Bezahlung sein? Das trägt ja die Katze auf dem Schwanz weg.']"
"['die Katze lässt das Mausen nicht', 'der Kater lässt das Mausen nicht']",die Katze/der Kater lässt das Mausen nicht,"wer einmal gestohlen hat, wird es immer wieder versuchen","['Die Katze lässt das Mausen nicht, und Manolescu, der berühmte Hoteldieb, ebenso wenig.']"
"['die Katze lässt das Mausen nicht', 'der Kater lässt das Mausen nicht']",die Katze/der Kater lässt das Mausen nicht,alte Gewohnheiten legt man nicht ab,"['Bald zwei Jahre ist es her, seit Basels polarisierender Baudirektor von Wählern und Wählerinnen in die Wüste geschickt wurde. Doch die Katze lässt das Mausen nicht und der politisch gebremste Macher Stutz nicht das Bauen.']"
"['jemandem die Kehle zuschnüren', 'jemandem die Kehle zusammenschnüren']",jemandem die Kehle zuschnüren/zusammenschnüren,jemandem ein Gefühl starker Beklemmung verursachen,"['Die Aufregung schnürte ihm die Kehle zu.', 'Abermals stieg ein Widerwille, eine Art von Brechreiz in Hanno Buddenbrook auf und schnürte ihm die Kehle zusammen.']"
"['sich die Kehle ausschreien', 'sich die Kehle aus dem Hals schreien']",sich die Kehle ausschreien/aus dem Hals schreien,anhaltend laut schreien,"['Wo bist du denn gewesen? Ich habe mir die Kehle aus dem Hals geschrien. Die Männer auf dem Floß schrien sich die Kehle aus, aber das Schiff drehte ab und verschwand im Nebel.']"
"['sich die Kehle anfeuchten', 'sich die Kehle ölen', 'sich die Kehle schmieren']",sich die Kehle anfeuchten/ölen/schmieren,Alkohol trinken,"['Bevor es weitergeht mit der Arbeit, muss ich mir erst mal die Kehle anfeuchten. Ich habe mir gestern Abend anständig die Kehle geölt. Ich glaube, wir müssen uns erst mal richtig die Kehle schmieren.']"
"['etwas in die falsche Kehle bekommen', 'etwas in die falsche Kehle kriegen', 'etwas in die unrechte Kehle bekommen', 'etwas in die unrechte Kehle kriegen']",etwas in die falsche/unrechte Kehle bekommen/kriegen,etwas völlig missverstehen,['Hören Sie doch genau her. Sie haben doch offenbar was in die falsche Kehle bekommen.']
"['jemandem in die falsche Kehle geraten', 'jemandem in die falsche Kehle kommen']",jemandem in die falsche Kehle geraten/kommen,von jemandem völlig missverstanden werden,['Die Bemerkung über die Zustände in Süditalien gerieten den italienischen Gästen in die falsche Kehle.']
