Redewendung,Bedeutung,Beispiel
jemandem nach dem Mund reden,"jemandem immer zustimmen; das sagen, was der andere gern hören will","Am Wahltag schadet es nur, den Populisten nach dem Munde geredet zu haben. Freundschaftliche Zusammenarbeit bedeutet eben gerade nicht, dass der eine dem anderen nach dem Mund redet."
sich jeden/den letzten Bissen am/vom Mund absparen,äußerst sparsam und entbehrungsreich leben,"Seine Eltern hatten sich den letzten Bissen vom Munde abgespart, damit er studieren konnte. berufen, Bissen, Blatt, Brei, Hand, Herz, Honig, Löffel, Morgenstunde, Schaum, Wasser, Wort."
jemandes Mundwerk steht nicht still,jemand redet ununterbrochen,"Sie wird dich gut unterhalten, ihr Mundwerk steht keine Minute still."
ein böses/lockeres/loses/freches Mundwerk haben,gehässig/vorlaut/frech reden,"Sie hatte ein böses Mundwerk, das war stadtbekannt. Wer so ein loses Mundwerk hat, darf sich nicht wundern, wenn er Ärger bekommt. Die Waschfrau bewies, dass sie ein drolliges, schnellläufiges Mundwerk hatte, sie erzählte in einem fort Dorfgeschichten, Liebesund Schauergeschichten."
ein großes Mundwerk haben,großsprecherisch sein,"Erst hast du ein großes Mundwerk, und wenn es darauf an kommt, kneifst du! Dennis hat das größte Mundwerk der Clique und eine der umfangreichsten Polizeiakten. Mund."
munter wie ein Fisch im Wasser,gesund und vergnügt,Nach der Entfernung eines Kopftumors ist der zehnjährige George aus Australien buchstäblich wieder munter wie ein Fisch im Wasser.
etwas in klingende Münze umsetzen/umwandeln,"Geld mit etwas verdienen, aus etwas finanziellen Nutzen ziehen","Tatsache ist aber auch, dass Italien einen enormen Schatz an Kulturgütern hat, den es durch den Tourismus nur mangelhaft in klingende Münze umsetzt."
in/mit klingender Münze bezahlen,bar bezahlen,"Halt, mein Freund, hier wird mit klingender Münze bezahlt!"
"auf jemanden, etwas gemünzt sein","auf jemanden, etwas bezogen sein, gegen jemanden, etwas gerichtet sein","Die Technokraten sind es, auf die die Mahnung gemünzt ist, dass man nicht alles machen dürfe, was man machen kann. Berichte über Partys aus den wilden Cliquen der Zwanzigerjahre könnten wortgleich auf die Techno-Szene der Neunzigerjahre gemünzt sein."
Murphys Gesetz,"die Annahme, dass alles misslingt, was misslingen kann","Kurz vor einer wichtigen Prüfung sieht sich die 13-jährige Hayat allein mit dem Haushalt und dem kleinen Geschwisterchen. Sie unternimmt alles, um doch noch rechtzeitig zu ihrem Termin zu erscheinen, doch Murphys Gesetz schlägt unweigerlich zu."
ohne Murren und Knurren,2. ohne Probleme,Schon das Vorgängermodell hat alles ohne Murren und Knurren ausge führt. Das komplett in Assembler programmierte Treiberpaket installierte sich ohne Murren und Knurren.
jemanden zu Mus hauen/schlagen,jemanden schlimm verprügeln,"Dich hau ich zu Mus, wenn ich dich noch einmal mit meiner Freundin erwische! Die Hooligans hatten den Ordner zu Mus geschlagen."
die leichte Muse,"die unterhaltende Kunst, bes. die Operette",Die Vertreter der leichten Muse sorgten für Heiterkeit und gute Laune.
die zehnte Muse,das Kabarett,Auch die zehnte Muse hatte ihren Platz im kulturellen Programm der Festwochen.
jemanden hat die Muse geküsst,"jemand fühlt sich zu künstlerischer Betätigung angeregt, hat eine künstlerische Inspiration","Wenn ihn die Muse geküsst hat, bleibt er zum Leidwesen der Nachbarn die ganze Nacht am Klavier."
Musik in jemandes Ohren sein,"für jemanden eine äußerst angenehme und willkommene Äußerung, Neuigkeit sein",Es gibt Freibier? Das ist Musik in meinen Ohren.
in/hinter etwas ist/steckt/sitzt Musik,"etwas hat Kraft, Schwung","Die 80er. In diesem Jahrzehnt steckt Musik drin, und was für welche!. Zudem besteht so die Möglichkeit, Energie quasi via Verflüssigung zu speichern. In dem Thema ist Musik drin, und wir glauben weiterhin daran."
da/hier vorne spielt/ist die Musik,"an den abgelenkten Zuhörer, Zuschauer gerichtete Aufforderung zur Aufmerksamkeit","Ruhe dahinten! Hier vorne spielt die Musik. Also, wo waren wir stehen geblieben. Ton. Neben den hier aufgeführten Wendungen zur Musik gibt es jede Menge weitere in diesem Bereich. So kann jemand nicht nur den"
seine/die Muskeln spielen lassen,"seine Stärke zeigen; erkennen lassen, dass man etwas nicht hinnehmen wird","Noch lässt die Staatsmacht nur die Muskeln spielen, aber eine weitere Eskalation der Gewalt ist nicht auszuschließen."
Muss ist eine harte Nuss,"es ist oft schwer, Notwendiges zu akzeptieren, sich mit Notwendigem abzufinden","Ich weiß, dass ich mich operieren lassen muss, aber Muss ist eine harte Nuss."
"wer A sagt, muss auch B sagen; wenn der Berg nicht zum Propheten kommt, muss der Prophet zum Berg gehen Müßiggang ist aller Laster Anfang","wer nicht arbeitet, seinen Lebensunterhalt nicht selbst verdient, ist anfällig für schlechte Einflüsse.",
Muster ohne Wert,"ein Plan, der unrealistisch ist, eine Ankündigung, die folgenlos ist",Wahlversprechen ohne konkrete Umsetzungspläne und ohne verlässliche Finanzierung der Vorhaben sind Muster ohne Wert.
aus dem Mustopf kommen,"völlig uninformiert, ahnungslos sein","Du weißt nicht, wer die Landtagswahl gewonnen hat? Du kommst wohl aus dem Mustopf? Nur der Leiter des Kulturamtes schien aus dem Mustopf zu kommen."
in den Mustopf fassen,Glück haben,"Sie hat fünf Richtige im Lotto – so möchte ich auch einmal in den Mustopf fassen. Beim Kauf der Goldmünzen haben wir wirklich in den Mustopf gefasst, der Kurswert ist schon wieder gestiegen!"
Mut zur Lücke,"das Sicheingestehen von und das Sichabfinden mit Unzulänglichkeiten, mit Unvollständigkeiten","Mut zur Lücke war bei dem gestrigen Ge spräch nicht angebracht. Deshalb gibt es hier kaum Jahreszahlen, nur wenige Fachbegriffe und vor allem eben den Mut zur Lücke. Mit etwas Mut zur Lücke hätte er das Treffen der Ministerrunde genauso gut ausfallen lassen können, wie es in der vergangenen ausgefallen ist und in der kommenden Woche noch einmal ausfallen wird. Diese Einwände und Fragen sollen und können die Gesamtleistung des Autors nicht schmälern, sie stammen von einem Rezensenten, der aus eigener Erfahrung weiß, dass eine Lexikon-Bearbeitung ohne den Mut zur Lücke nicht möglich ist."
sein Mütchen kühlen,"seinen Ärger, Zorn auslassen","Wie gern nimmt ja auch sonst eine schlichtende Macht die Gelegenheit wahr, ihr Mütchen im Schweiße streitender Parteien zu kühlen."
die Mutter der Kompanie,der Hauptfeldwebel,"Die Mutter der Kompanie hatte ihre Au gen überall. Er ist der Spieß, die Mutter der Kompanie."
Mutterfreuden entgegensehen,ein Kind erwarten,"Ganz praktisch fand Nadine, die im Mai 2020 Mutterfreuden entgegensieht, auch das Angebot an Babyutensilien."
etwas mit der Muttermilch einsaugen,"etwas von klein auf erlernen, erfahren",Wissen und Weisheit haben sie in die Wiege gelegt bekommen und mit der Muttermilch aufgesogen. Das Kahnfahren hat er quasi mit der Muttermilch aufgesogen.
an/bei jemandem Mutterstelle vertreten,für jemanden wie eine Mutter sorgen,Sie vertrat Mutterstelle an den verwaisten Töchtern Alexander Herzens. Pfleger Rüdiger Pankow wird jetzt für die nächsten zwei Jahre die Mutterstelle bei dem Kalb vertreten und ihm die Flasche reichen müssen.
eine Mütze voll Wind,eine leichte Brise,Gegen Abend gibt es bei uns meistens eine Mütze voll Wind.
eine Mütze Schlaf,"wenig Schlaf, ein Nickerchen","Sieh zu, dass du noch eine Mütze voll Schlaf kriegst, bevor wir weiterfahren."
jemandem die Mütze gerade rücken,jemanden verprügeln,"Ich glaube, dem Randalierer hier muss ich mal die Mütze gerade rücken!"
jemandem nicht nach der Mütze sein,jemandem nicht recht sein,"Man merkte, dass dem Präsidenten der Verlauf der Abstimmung nicht nach der Mütze war."
jemandem eins/was auf die Mütze geben,jemandem gegenüber zum Gegenschlag ausholen,"Bill Gates, Steve Ballmer & Co haben allen eins auf die Mütze gegeben, die ihnen ihr Spielzeug Windows und die anderen Inhalte ihrer Hosentasche streitig machen wollten."
der Nabel der Welt,"der Mittelpunkt, um den sich alles dreht; das Wichtigste, allein Entscheidende","Jetzt nimm dich nicht so wichtig – du bist nicht der Nabel der Welt! Auffallend das Bedürfnis, sich unablässig der eigenen Wichtigkeit zu versichern, die Neigung, das eigene Land für den Nabel der Welt zu halten."
nach und nach,allmählich,Nach und nach setzt sich aus vielen kleinen Einzelheiten ein bruchstückhaftes Bild der Personen zusammen.
jemandem bleibt das Nachsehen,"jemand ist der Benachteiligte, Betrogene","Er hatte sich längst mit dem Geld ins Ausland abgesetzt, den anderen blieb wieder einmal das Nachsehen."
"na, dann gute Nacht!","Ausruf der Enttäuschung, der Resignation","Unser Konto ist schon wieder überzogen? Na, dann gute Nacht! Mit so einer Erkältung willst du auf den Fußballplatz gehen? Na, dann gute Nacht!"
Nacht der langen Messer,1. nachts stattfindender grausamer Mord,"Sie gerät unverschuldet zwischen die Fronten, als eine blutige Nacht der langen Messer beginnt und man die Juden aus ihren Häusern treibt."
jemandem wird es Nacht vor den Augen,jemand wird ohnmächtig,"Als der junge Mann das viele Blut sah, wurde es ihm Nacht vor den Augen."
die Nacht zum Tage machen,"die ganze Nacht hindurch arbeiten, feiern","Heute machen wir die Nacht zum Tage, heute hauen wir auf den Putz! Drei Uhr morgens und bei Hans brennt noch immer Licht, er büffelt fürs Abi und macht die Nacht zum Tage."
sich die Nacht um die Ohren schlagen,"die ganze Nacht aufbleiben, nicht zum Schlafen kommen","Der Angesprochene erklärte sein Unausgeschlafensein damit, dass er sich lesend die Nacht um die Ohren geschlagen habe."
jemandem schlaflose Nächte bereiten,"jemanden sehr beunruhigen, ein großes Problem für jemanden sein","Das ist jedenfalls keine Frage, die mir schlaflose Nächte bereitet."
bei Nacht und Nebel,heimlich,"Bei Nacht und Nebel verschwand er, in einem riesigen Lkw transportiert."
auf die Nacht,am Abend,Sie wollten ihre Kinder auf die Nacht nicht allein lassen.
über Nacht,unerwartet schnell; plötzlich,Die junge Sängerin war über Nacht zum gefeierten Star geworden. Du bist anscheinend über Nacht zu einem ekelhaften Materialisten herabgesunken. Hausbesitzer!.
zu Nacht essen,die Abendmahlzeit einnehmen,"Zu Hause wurde regelmäßig um sechs zu Nacht gegessen. Dieb, dumm, Fuchs, hässlich, schwarz, Tag, Traum, Unterschied, zwölf."
ein aufgeblasenes Nachthemd,"jemand, der nur angibt und nichts kann",Die Ministerin ist ein aufgeblasenes Nachthemd. Was die Leute nur an dem Kerl finden – so ein aufgeblasenes Nachthemd kann man doch nicht ernst nehmen.
"Nachtigall, ick hör dir trapsen","ich merke, worauf die Sache hinausläuft","Seit meinem Lottogewinn seid ihr auf einmal alle so nett zu mir – Nachtigall, ick hör dir trapsen!"
die Nachtigall singen lehren wollen,einen Meister seines Faches belehren wollen,"Das weiß ich längst, mein junger Freund; Sie werden doch nicht die Nachtigall singen lehren wollen! Ul."
nachtragend wie ein indischer Elefant/wie ein Wasserbüffel sein,sehr nachtragend sein,Er war leicht gekränkt und dabei nachtragend wie ein indischer Elefant.
den Nachweis für etwas erbringen/führen/liefern,etwas nachweisen,"Solange der Nachweis für seine Unschuld nicht erbracht ist, wird man ihn in dem kleinen Ort meiden."
von Nacke bis Hacke/von Hacke bis Nacke,"1. über den ganzen Körper hin, von oben bis unten","Das war ein Patient, zehn Jahre älter als ich, zwei Kopf größer, durchtätowiert von Hacke bis Nacke, den ich, ohne es böse zu meinen, als Berliner Proll bezeichnen würde."
den Nacken steifhalten,sich nicht unterkriegen lassen,"Halt den Nacken steif, mein Junge, so schlimm wird es nicht werden! Die Geschäfte gingen damals sehr schlecht, es hieß den Nacken steifhalten und abwarten."
jemandem den Nacken beugen,"jemanden demütigen, unterwerfen",Auch diesem Tyrannen wird einst ein Stärkerer den Nacken beugen.
jemanden im Nacken haben,1. von jemandem hart bedrängt werden,"Keiner der beiden wäre so gut, wenn er nicht den anderen im Nacken hätte. Rivalität beflügelt."
jemanden im Nacken haben,2. von jemandem verfolgt werden,"Er flüchtete mit seinem Auto, hatte aber nicht nur die Polizei im Nacken, sondern auch die eigene Schwester."
sich nackig machen,1. sich ausziehen,Als erste Sportlerin hat sie sich für den Playboy nackig gemacht.
sich nackig machen,2. intime Details über sich offenlegen,Nach der gültigen Regelung hätten sich die Eltern bei der Beantragung der Mittel aber in puncto Einkommensverhältnisse ab sofort total nackig machen müssen.
eine Nadel im Heuhaufen suchen,etwas ohne oder nur mit geringen Erfolgsaussichten suchen,"Wir wollten die sprichwörtliche Nadel im Heuhaufen suchen, mussten aber im Nachhinein feststellen, dass wir sozusagen in einer ganzen Scheune suchen. Recherchieren im Web gleicht normalerweise der berühmten Suche nach der Nadel im Heuhaufen."
an der Nadel hängen,"von Drogen abhängen, die injiziert werden, bes. heroinsüchtig sein","Betroffene greifen nun zur Selbsthilfe – so auch eine 43-Jährige, die einst an der Nadel hing."
bei jemandem noch etwas auf der Nadel haben,mit jemandem noch etwas auszutragen haben,"Er kam ihm gerade recht, mein Lieber, er hatte bei ihm sowieso noch etwas auf der Nadel!"
ein Nagel zu jemandes Sarg sein,"jemandem sehr großen, am Leben zehrenden Kummer bereiten","Dieses Kind ist noch ein Nagel zu meinem Sarg Der Junge hat nichts als Dummheiten im Kopf, von morgens bis abends. Vielleicht wird sein Dilettieren angesichts der Pandemie der erste Nagel zum Sarg der Trump’schen Präsidentschaft sein."
Nägel mit Köpfen machen,"etwas richtig anfangen, konsequent durchführen; sich nicht mit Halbheiten begnügen",Die Gemeinde musste neue Masten setzen und machte gleich Nägel mit Köpfen.
etwas an den Nagel hängen,"etwas aufgeben, etwas künftig nicht mehr ausüben","Sie denkt nicht daran, ihre Karriere mit Rücksicht auf das Kind an den Nagel zu hängen. Ich habe den Assessor an den Nagel gehängt und bin im Geschäft meines Schwiegervaters."
die Nagelprobe machen,auf jemandes Wohl sein Glas leeren,Und nun wollen wir zu Ehren unseres lieben Gastes die Nagelprobe machen – prosit!
nichts zu nagen und zu beißen haben,nichts zu essen haben; Hunger leiden,Da wurde geprasst und bis zum Umfallen getrunken und unterdessen hatten die Leute in Momoxo nichts zu nagen und zu beißen. Hungertuch.
aus/von nah und fern,von überallher,Radler aus nah und fern nutzen lebhaft den Ostseeradfernweg durch Warnemünde. Weihnachtslieder von nah und fern. Für Gitarre solo.
einer Sache nahe sein,"fast von etwas überwältigt, erfasst werden","Die Bemerkung hat sie tief getroffen, sie war dem Weinen nahe. daran, greifen, Wasser."
eine Naht draufhaben,eine sehr hohe Geschwindigkeit haben,Der alte Citroe¨n hatte vielleicht eine Naht drauf – die Zuschauer haben nur so gestaunt!
eine gute Naht saufen,viel Alkohol trinken,"Man wusste, dass der Hufschmied eine gute Naht saufen konnte. Vgl. die vorangehende Wendung."
eine Naht beziehen/bekommen/kriegen,Prügel bekommen,Damals hatte er gelogen und eine tüchtige Naht bezogen. Noch eine pampige Antwort und du kriegst ’ne Naht!
etwas auf der Naht haben,reich sein,"Halt dich ran, Junge, das Mädchen hat was auf der Naht!"
jemandem auf den Nähten knien,jemanden heftig bedrängen,"Der Kohlenhändler kniete ihnen schon seit Wochen auf den Nähten, weil sie die letzte Rechnung noch nicht bezahlt hatten."
aus den/aus allen Nähten platzen,"1. zu dick, zu umfangreich werden","Der Kraftprotz platzt ja mal wieder aus allen Nähten. Wo sich die Szenen noch fast beliebig weiter bereichern lassen, übt man sich oft in Sparsamkeit und Transparenz, und das ist gut so in einem Stück, das aus den Nähten platzen will."
aus den/aus allen Nähten platzen,"2. zu voll werden, den Inhalt nicht mehr fassen können","Die Taucherausrüstung bleibt hier, der Koffer platzt sowieso schon aus allen Nähten. Seit 1900 stagnieren die Gemeinden unter 2000 Einwohnern, während die großen Wohnzentren aus den Nähten platzen."
