Idiom,Meaning,Meaning_translated_KR
on a silver platter,to have something handed to you easily or without effort,쉽게 또는 노력하지 않고 물건이 주어지다
on a wing and a prayer,trying to achieve something with very little chance or hope of success,성공 가능성이 거의 없는 무언가를 이루려고 시도하는 것
on all fours,to be on hands and knees,무릎 꿇고 엎드리다
on and off,intermittently; periodically; not consistently; in a sporadic or irregular manner,간헐적으로; 주기적으로; 일관되지 않게; 산발적으로 또는 불규칙하게
on board,"involved or participating in a particular activity, project, or group","특정 활동, 프로젝트, 또는 그룹에 관련되거나 참여하는"
on cloud nine,to be extremely happy or joyful,매우 행복하다 또는 기쁘다
on cue,at the precise moment or at the appropriate time,정확한 순간에 또는 적절한 시간에
on doorstep,very close or nearby; imminent or likely to happen soon,매우 가까운; 임박한 또는 곧 일어날 가능성이 있는
on edge,"feeling nervous, anxious, or irritable",불안하거나 초조하거나 짜증나는 기분
on ice,postponed or put aside; not currently being worked on or dealt with,연기되거나 보류된; 현재 작업되거나 다루어지지 않는
on in years,old; advanced in age,늙은; 나이가 많은
on one's uppers,having little or no money; impoverished,돈이 거의 없거나 전혀 없는; 가난한
on paper,"based on what is written or planned, rather than what actually happens or is true","작성되거나 계획된 것을 기반으로 하며, 실제로 발생하거나 사실인 것과는 다르게"
on pins and needles,feeling very anxious or nervous; in a state of suspense or anticipation,매우 불안하거나 긴장한 느낌; 서스펜스나 기대 상태에 있는
on someone's mind,occupying someone's thoughts or preoccupying someone,누군가의 생각을 차지하거나 선입견에 사로잡히다
on tenterhooks,"feeling anxious or nervous, especially while waiting for something uncertain or important to happen",불확실하거나 중요한 일이 발생하기를 기다릴 때 특히 불안하거나 긴장하는 느낌
on the back burner,"to be put aside or delayed, often in favor of more urgent or important matters",더 긴급하거나 중요한 사항을 위해 종종 미뤄지거나 제외되다.
on the back of,"""as a result of"" or ""because of""","""의 결과로"" 또는 ""때문에"""
on the ball,"to be alert, attentive, and quick to respond or react","경계하고, 주의를 기울이며, 빠르게 반응하거나 반작용하다"
on the blink,not functioning properly; experiencing a temporary malfunction,제대로 작동하지 않다; 일시적인 고장을 겪다
on the bounce,to be experiencing a series of successes or positive outcomes,연속적인 성공이나 긍정적인 결과를 경험하고 있다.
on the brink of,about to happen; on the verge of,막 일어나려 하는; 임박한
on the button,at exactly the right time or in exactly the right way,정확한 시간에 또는 정확한 방식으로
on the cards,likely to happen or be true; probable,발생하거나 사실일 가능성이 높은; 그럴듯한
on the carpet,being reprimanded or called to account for something,무언가에 대해 꾸중을 듣거나 책임을 묻는 것
on the case,actively investigating or working on a situation or problem,상황이나 문제를 적극적으로 조사하거나 작업하다
on the crest of a wave,experiencing a period of great success or happiness,큰 성공이나 행복의 시기를 경험하다.
on the cuff,to buy something on credit or without paying immediately,신용으로 물건을 사다 또는 즉시 지불하지 않고 사다
on the dot,exactly at a specified time; punctual,정해진 시간에 정확히; 정시의
on the double,to hurry or move quickly,서둘러 움직이다
on the face of it,"based on initial appearances or evidence, without deeper analysis or consideration","처음 인상이나 증거에 근거하여, 더 깊은 분석이나 고려 없이"
on the fence,undecided; not able to choose between two options,결정하지 못한; 두 가지 옵션 중 선택하지 못한
on the fiddle,"engaging in dishonest or fraudulent activities, especially for personal gain","부정직하거나 사기적인 활동에 참여하는 것, 특히 개인적인 이익을 위해"
on the flip side,referring to the opposite or contrasting aspect of a situation or argument,상황이나 주장의 반대 또는 대조적인 측면을 언급하는 것
on the fly,"doing something quickly or on the spot, without much preparation or planning","즉흥적으로, 준비나 계획 없이 빠르게 무엇인가를 하다"
on the game,engaging in prostitution,매춘에 종사하다
on the hoof,improvised or done quickly; without careful planning or preparation,즉흥적으로 하거나 빨리 한; 신중한 계획이나 준비 없이
on the hop,being constantly busy or on the move; having to act quickly or adapt to changes,지속적으로 바쁘거나 움직이는 상태; 빠르게 행동해야 하거나 변화에 적응해야 하는 상태
on the horizon,likely to happen or appear soon,곧 일어날 가능성이 높은
on the horn,talking on the telephone,전화 통화하기
on the horns of a dilemma,to be faced with a difficult choice between two equally unfavorable options,두 개의 동등하게 불리한 선택지 사이에서 어려운 선택에 직면하다
on the house,"provided or given for free, without charge","무료로 제공되는, 요금 없이"
on the knocker,to pay for something immediately or in cash when it is delivered or completed,납품되거나 완료될 때 즉시 또는 현금으로 지불하다
on the lam,To be on the run or fleeing from the authorities,당국으로부터 도망치다
on the level,"trustworthy, honest, or sincere","신뢰할 수 있는, 정직한, 진실한"
on the make,"actively seeking personal gain or advancement, often in a somewhat aggressive or opportunistic manner","개인적인 이득이나 advancement를 적극적으로 추구하는, 종종 다소 공격적이거나 기회주의적인 방식으로 행동하는 것"
on the mend,recovering or improving after an illness or injury,질병이나 부상 후 회복하거나 개선되는 것
on the money,Correct or accurate; exactly right,정확한; 완전히 맞는
on the nod,accepted or agreed without question or debate,의문이나 논쟁 없이 수용되거나 동의된
on the nose,exactly right; precise; to the point,정확히 맞다; 정밀하다; 요점에 맞다
on the other hand,to introduce an alternative or contrasting viewpoint or perspective,대안적이거나 대조적인 관점이나 시각을 제시하다
on the pull,actively seeking romantic or sexual partners,연애 또는 성적 파트너를 적극적으로 찾는 것
on the qui vive,being on high alert or watchful for something,무언가에 대해 경계하거나 주의 깊은 상태에 있음
on the rebound,"entering into a new relationship or situation shortly after the end of a previous one, often as a way to cope with or get over the previous one","이전 관계의 종료 후 짧은 시간 안에 새로운 관계나 상황에 들어가는 것, 종종 이전 관계를 극복하거나 대처하기 위한 방법으로."
