Idiom,Meaning,Meaning_ar
ْفَبِهَا ونِعمَت,In that case it’s all right,في هذه الحالة، لا بأس
فت ّ في ساعده,To weaken someone,إضعاف شخص ما
( فت في عضده )ساعده,"To weaken someone, sap someone’s strength, discourage, enervate someone",لإضعاف شخص ما، استنزاف قوته، تثبيط عزيمته، إضعافه
فتاة عذراء,"Maiden, virgin",عَذراء
فَت ْ حُ االعتماد,Opening of a credit,فتح اعتماد
َفتح البخت,To tell fortunes,لِيَروي الحَظوظ
َفتح الشهية,To stimulate the appetite,لتحفيز الشهية
ُف ُ تِحَ باب,"(S.th.) got under way, was begun",بدأ (شيء ما)
فتح بابَ المفاوضات,To open negotiations,لفتح المفاوضات
ًفتح باباً جديدا,"To open up a new way, a new possibility",لفتح طريق جديد، إمكانية جديدة
فتح عينيه على آخرهما,"To open one’s eyes wide, stare wide-eyed",يُفَتِّح عينيه على مِصراعيها، يُحَدِّق بعينين مُتَّسِعتين
فتح فمَه بالكالم,"To open one’s mouth in order to say something, prepare to say something",يَفْتَح فَمَهُ لِيَقُول شَيْئًا، يَسْتَعِد لِلْكَلَام
فترة االنتقال,"Interim period, interim stage, stage of transition",فترة انتقالية، مرحلة انتقالية، مرحلة التحول
فترة الذروة الصباحيّة,Morning rush hour,ساعة الذروة الصباحية
َفتق الذهن,"To make someone see his way clear, cause someone to see things in their true light",لِجَعل شَخص يَرَى طَريقَه بِوُضوح، وَجَعل شَخص يَرَى الأُمُور بِضَوءِها الحَقِيقِي
ٌفُتِقَتْ له حيلة,A ruse came to his mind,خَطَرَت له حيلة
ًفتك به فتكاً ذريعا,"To cut off, destroy, wipe out, eradicate, to decimate, thin the ranks of (especially said of a disease)",لاستئصال، تدمير، محو، القضاء على، لإبادة، تقليل أعداد (يُقال خاصة عن مرض)
فج رجليه,To straddle,لِيَمتَطِي
ف ُ جِعَ بولده,He was stricken by the death of his son,لقد أُصيب بصدمة وفاة ابنه
فحسب,"And that’s all, and no more, only",وهذا كل شيء، ولا شيء أكثر، فقط
ًفرداً فردا,"Singly, one by one, one after the other",بشكل فردي، واحدًا تلو الآخر، واحدًا بعد الآخر
فرصة من الزمن,"For a short time, briefly",لفترة قصيرة، باختصار
فرض ارادتَه عليه,To force one’s will on someone,فَرض إرادته على شخص ما
َفرض الحصار,To impose a blockade,لفَرض حِصار
ًفَرَضَ جَدَال,"To assume for the sake of argument, propose as a basis for discussion, assume hypothetically",لنفترض لغرض النقاش، نقترح كأساس للمناقشة، نفترض افتراضًا نظريًا
ُف َ رَط َ منه الشيء,"He missed the thing, lost it",فاته الأمر، وخسره
فرغ إلى نفسه,To collect one’s thoughts,لِيَجمَع أفكاره
ْفرّق تَسُد,Divide and conquer!,قَسِّم وتَحَكَّم!
ًفرى كذبا,"To fabricate, or invent, a lie",لِيَختَلِق أو يَبتَكِر كَذِبَة
فريد في بابه,Unique of its kind,فريد من نوعه
فسّح له الطريق,To open or pave the way for someone or something,لِفَتح الطَريق أو تَمهيد الطَريق لِشخص أو شَيء ما
فسّح مجاال له,"To make room for someone or something, give someone or something free play or free scope, to open up an opportunity for someone",لإفساح المجال لشخص أو شيء، لإعطاء شخص أو شيء حرية الحركة أو نطاق حر، لفتح فرصة لشخص ما.
فسخ عقد زواج,To dissolve a marriage,لِفَسخ الزواج
فشل ذريع,A catastrophic failure,فَشَل كارِثي
ًفصاعدا,"And beyond that, and more",وما بعد ذلك، وأكثر من ذلك
فصل (مقال) افتتاحي,Opening speech,الكلمة الافتتاحية
فصلته عن الرضاع,To wean the infant from sucking,فِطام الرضيع عن الرضاعة
فض بكارتَها,To deflower a girl,فض غشاء البكارة لفتاة
الفضل في ذلك عائد عليه,"The merit thereby is his due, he deserves all credit for it",الاستحقاق بذلك هو حقه، فهو يستحق كل التقدير على ذلك.
فضال عن,"Beside, aside from, let alone",بِالإضافة إلى، بِاستِثناء، ناهيك عن
فضال عن ذلك,"Besides, moreover, furthermore",بالإضافة إلى ذلك، علاوة على ذلك، فضلاً عن ذلك
فضول األحاديث,"Futile talk, idle words",كلام عَبَثي، كلمات فارغة
ف ُ طِرَ على,"(S.th.) is native of him, is in his nature",(شيء ما) طَبيعِيٌّ فيه، هو في طَبيعَتِه
فعل عودا ً إلى بدء,"He did it all over again, he began anew",فعل ذلك مرة أخرى، بدأ من جديد
فعل عودَه على بدئه,"He did it all over again, he began anew",فعل ذلك مرة أخرى، وبدأ من جديد.
ًفعل فيه فعالً كريها,To have unpleasant effect on someone,أن يكون له تأثير غير سار على شخص ما
ًفعله عوداً وبدءا,"He did it all over again, he began anew",فعل ذلك مرة أخرى، وبدأ من جديد.
فقأ عينَه,"To deal someone (an opponent, an enemy) a heavy blow, ruin someone",يوجّه ضربة قاضية لشخص (خصم، عدو)، يُدمّر شخصًا
فقد صوابَه,To lose one’s mind,يَفقِد عَقلَه
فقد وعيه,"To lose consciousness, faint, pass out",فَقد الوَعي، أُغمِيَ عليه، غاب عن الوعي
فقدان الذاكرة,"Loss of memory, amnesia",فقدان الذاكرة، النسيان
الفقيد الراحل,The deceased,المَرحوم / المَتوفى
فك االشتباك,Disengagement of forces,فَكّ الاشتباك بين القُوات
فك الحجزَ عن,"To raise, lift (the confiscation of something)",لإلغاء أو رفع (مصادرة شيء ما)
فكّ عصمتَها من زوجها,To revoke the husband’s matrimonial authority over his wife (juristic),لإلغاء سلطة الزوج الزوجية على زوجته (فقهيًا)
فكيف بِـ,Just imagine how much more (or less)...!,تَخَيَّل فقط كم سيكون أكثر (أو أقل)...!
فل حديده,"To weaken someone, to dampen, subdue someone",لإضعاف شخص ما، لإحباطه، إخضاعه
فلّ غربَه,"To weaken someone, to dampen, subdue someone",لإضعاف شخص ما، لإحباطه، لإخضاعه
فلّ من حدّته,To weaken someone,إضعاف شخص ما
فلّ من شَبَاه,To weaken someone,إضعاف شخص ما
ِفالن في مَبَاذِلِه,So-and-so in his private life,فلان في حياته الخاصة
فِلذة كبده,"His own blood, his own child",دَمُهُ، طِفلُهُ الخاص
فما فوقه,"And upwards, and more (than that)",وما فوق، وأكثر من ذلك
فما هي إال أن همّ حتى فعل,He had no sooner made his plan than he carried it out,ما إن وضع خطته حتى نفذها.
فهم حق الفهم,"To fully understand, be fully aware",لِلفَهم التام، كُن واعيًا تمامًا
فَهِمَ عنه,"To understand someone, understand what someone says or means",لفهم شخص ما، افهم ما يقوله أو يقصده
فوات األجل,Expiration of the deadline,انتهاء الموعد النهائي
الفواكه على اختالفها,Fruits of every kind,فواكه من كل نوع
فوائد جمة,"Numerous advantageous, ample benefits",فوائد عديدة ومزايا وفيرة
ًفورا,"At once, right away, instantly, immediately",في الحال، فورًا، على الفور، مباشرةً
فوز نهائي,Ultimate triumph,النصر النهائي
فوق الحد,"Boundless, infinite, excessive",بلا حدود، لا نهائي، مفرط
فوق الطبيعة,Supernatural,خارق للطبيعة
فوق العادة,"Extraordinary, unusual, uncommon, exceptional",استثنائي، غير عادي، نادر، مميز
. . . فوق أنه,"In addition to the fact that it, beyond its being...",بالإضافة إلى حقيقة أنه، إلى جانب كونه...
فوق ذلك,"Moreover, besides, in addition to that, furthermore",علاوة على ذلك، بالإضافة إلى ذلك، فضلاً عن ذلك، وأيضاً
فوق شهور ال ت ُ قَدِّم وال ت ُ ؤَخِّر,A difference of a few months which is of no consequence,فَرق بضعَة أشهُر لا يُؤثِّر على الإطلاق
في الغد,"Tomorrow, the following day",غدًا، اليوم التالي
في أثره، على أثره,"On his (its) track, immediately afterwards",على أثره مباشرةً
في أثناء,"During, in the course of, meanwhile, in the meantime",أثناء، في سياق، في غضون ذلك، في هذه الأثناء
