Idiom,Meaning,Meaning_trans
على قيد عشر كيلمترات,At a distance of 10 km,على مسافة 10 كم
)على كَث َ بٍ من (عن كثب من,"In the vicinity (of a neighbourhood), near",في المنطقة المجاورة (من حي)، بالقرب من
(على كر الدهور )الزمن,In the course of time,مع مرور الوقت
على كراهية,"Unwillingly, grudgingly, forcedly",على مضض، على مضض، على مضض، قسراً
على ك ُ رهٍ منه,"Unwillingly, reluctantly, under compulsion",على غير رغبة، على مضض، تحت الإكراه
على كل,"In any case, at any rate",على أي حال، على أي حال، على أي حال
على كل حال,"In any case, at any rate, anyhow",في أي حال، على أي حال، على أي حال، على أي حال
على كيسه,At his expense,على نفقته
على كَيفِك,"At your discretion, as you please, as you wish",حسب تقديرك، كما يحلو لك، كما يحلو لك، كما يحلو لك
على لسان الصحف,Through the organ of the press,من خلال جهاز الصحافة
ُعلى ما خيّت النفس,"As the heart dictates, i.e. as chance will have it",حسب ما يمليه القلب، أي حسب ما تمليه الصدفة
على ما يقال,"As they say, as it is said",كما يقولون، كما يقال
على ما يلوح,"As it seems, apparently",كما يبدو، على ما يبدو
على مبلغ تقديري,As far as I can judge for myself,بقدر ما أستطيع أن أحكم بنفسي
(على متن )سفينة – طائرة,Aboard (a ship or airplane),على متن (سفينة أو طائرة)
على متن البحر,"By sea, sea-borne",عن طريق البحر، عن طريق البحر
على متن الطائرة,Aboard the plane,على متن الطائرة
على متن الهواء,"Through the air, air-borne",من خلال الهواء، المحمول جواً
على مثال,"In the manner of, after the pattern or model of",على غرار أو على غرار أو نموذج
على مداد واحد,After the same pattern,بعد نفس النمط
على مدى البصر,Within sight,على مرمى البصر
على مدى عشر أمتار,At a distance of 10 metres,على مسافة 10 أمتار
على مر الزمان,In the course of time,مع مرور الوقت
على مرأى من,Before someone’s eyes,أمام عيني شخص ما
على مرأى من,In full view of,على مرأى ومسمع من
على مرأى ومسمع من,"Before the eyes and ears of, with full knowledge of",أمام مرأى ومسمع من، مع معرفة تامة بـ
على مشارف,"Within view, in the visual range of, in front of",في مرمى البصر، في النطاق البصري، أمام، أمام
على مضض,"Unwillingly, reluctantly, begrudgingly",على مضض، على مضض، على مضض، على مضض
على مضى الزمان,"Lastingly, for long, permanently",بشكل دائم وطويل الأمد ودائم
(على مقربة )مِن,"Nearby, close at hand, in the vicinity of",في الجوار، على مقربة من، في محيط
على مأل العالم,"For everyone to see, before all the world",ليراها الجميع، قبل كل العالم
على ممر العصور,In the course of centuries,على مر القرون
على مهل,"Slowly, leisurely, in no hurry",ببطء، على مهل، على مهل، دون عجلة من أمرنا
على مهلك,Take it easy! Take your time!,تمهل! خذ وقتك!
على نحو ما,"In the manner of, as",على طريقة
على نحوٍ ما,"Pretty much, rather",إلى حد كبير، بل
على نسبة,"In proportion to, corresponding to",بما يتناسب مع، المقابلة لـ
على نَسَق,In the manner of,على طريقة
على نَسَق واحد,"In the same manner, uniformly",وبالطريقة نفسها، بشكل موحد
. . . على نصيب وافر من,To have an ample share in...,الحصول على حصة وافرة في...
على نفقته,At someone’s expense,على حساب شخص ما
على نقيض,"Contrary to, in opposition to, unlike",على النقيض من، في مقابل، على عكس
على نَمَط,In the manner of,على طريقة
على نور,In the light of,في ضوء
. . . على نية,With the intention to...,بقصد...
. . . على هامش,"On the periphery of, aside from...",في محيط، بصرف النظر عن...
على هذا االعتبار,"From this standpoint, from this viewpoint",من وجهة النظر هذه، من وجهة النظر هذه
على هذا الغرار,In this manner,وبهذه الطريقة
على هذا المِنوال,"In this manner, this way",بهذه الطريقة، بهذه الطريقة
على هذا النحو,In this manner,وبهذه الطريقة
على هذا النظام,"Along this line, in this manner",على هذا المنوال، وبهذه الطريقة
على هذا النمط,"In this manner, this way, after this fashion",على هذا النحو، بهذه الطريقة، بهذه الطريقة، بعد هذه الطريقة
على هذا الوجه,"In this manner, thus",وبهذه الطريقة، فإن
على هذه الوتيرة,"In this manner, this way",بهذه الطريقة، بهذه الطريقة
على هواه,"To be convenient to someone, please someone",أن تكون ملائمًا لشخص ما، يرجى من شخص ما
على هون,"Gently, imperceptibly",بلطف، بشكل غير محسوس
على هونك,At your convenience,على راحتك
على وتيرة واحدة,In the same manner,بالطريقة نفسها
على وجه,"In the manner of, in the shape of, with regard to, concerning",على نحو، على شكل، فيما يتعلق، فيما يتعلق، فيما يتعلق ب
على وجه اإلجمال,"On the whole, altogether",وإجمالاً، في المجمل
على وجه االستعجال,"Expeditiously, speedily",على وجه السرعة والسرعة
على وجه التحديد,"To be exact, strictly speaking",على وجه الدقة، على وجه الدقة
على وجه التخصيص,Specifically,على وجه التحديد
على وجه التفصيل,"At great length, in detail, elaborately",بإسهاب شديد، وبالتفصيل، وبإسهاب
على وجه الحصر,"In a condensed form, in a nutshell",باختصار شديد، وباختصار شديد
على وجه الخصوص,"Especially, in particular, specifically, particularly",على وجه الخصوص، على وجه الخصوص، على وجه التحديد، على وجه التحديد
على وجه العموم,Generally,بشكل عام
على وجه اليقين,With certainty,على وجه اليقين
على وجهه,"In his own way, in the right manner",بطريقته الخاصة، بالطريقة الصحيحة
(على يد )على أيدي,At the hands of,على يد
على يده,"Through him, by him, at his hand",من خلاله وبواسطته وبين يديه
على يمينه,To (or at) his right,إلى (أو على) يمينه
علي به,"Bring, give him (or it) to me!",أحضر، أعطه (أو أعطه) لي!
علية القوم,"Upper class, people of distinction, prominent",الطبقة العليا، الأشخاص المتميزون والبارزون
علية الناس,"Upper class, people of distinction, prominent",الطبقة العليا، الأشخاص المتميزون والبارزون
عليك بِـ,Take...! Help yourself...!,خذ...! ساعد نفسك...!
عليك بالصبر,You must have patience!,يجب أن تتحلى بالصبر!
عليك نور,Well done! Bravo!,أحسنت صنعًا! برافو!
علينا به,He is the one we must have!,إنه الشخص الذي يجب أن نحظى به!
عليه العفاء,"It’s all over with him, he is done for",لقد انتهى كل شيء بالنسبة له، لقد انتهى أمره
. . . عليه أن,"It is incumbent on him to, it’s his duty to, he must, he will have to...",من الواجب عليه أن، من واجبه أن، من واجبه أن، من واجبه أن، من واجبه أن
عليه دَين,He is in debt,إنه مديون
عما قريب,"Shortly, after a little while, soon",بعد فترة قصيرة، بعد فترة قصيرة، قريباً
