Idiom,Meaning
قَفَلَ باب الشيء,"To put an end to something, close something"
ُ قلّ صبر ُ ه,"To be impatient, to lose patience"
قل ّ ب ظهرا ً لبطن,"To turn something completely upside down, turn something topsy-turvy"
( قل ّ ب فيه البصرَ )النظر,"To scrutinise, eye, regard something"
قل ّ ب كَف َّ يه,"To repent, to be embarrassed"
ِّقَلَبَ له ظهرَ المِجَن,"To give someone the cold shoulder, become hostile to someone"
ًقلباً وقالبا,"With heart and soul, inwardly and outwardly"
قل ّ به بعقله,"To turn something over in one’s mind, reflect on something, ponder something, brood over something"
قل ّ به بين يديه,"To turn something in one’s hands, fidget with something"
ًقَلَبَه رأسا,To turn something upside down
قلة اإلحساس,"Insensitivity, obtuseness"
قلة االكتراث,"Indifference, apathy"
قلة البركة,"Misfortune, bad luck"
قلة الحياء,"Immodesty, impudence, shamelessness, impertinence"
قلة الشهية للطعام,Want of appetite
قلة الصبر,Impatience
قلة الوجود,"Scarcity, rarity, rareness"
قلعه من جذوره,To pull out something with the roots
ِقل ّ م أظافرَ خ َ صمِه,"To neutralise, disarm one’s opponent"
قلم اإلدارة,Head office
قلم التحرير,Editing room
قلم الحسابات,Accounting department
قليل األدب,Impolite
قليل الصبر,Impatient
قليل النفقات,"Inexpensive, cheap"
ًقليال,"A little, somewhat, seldom, rarely"
قليال ً ما,"Seldom, rarely"
قِمّة الرأس,Crown of the head
القمران,The sun and the moon
قمع السيكارة,Cigar butt
قميص النوم,Nightgown
قنبلة زمنية,Time bomb
ًقهرا,"By force, forcibly"
قَهِي (أقهى) من الطعام,To have little appetite
القوا إليه أسماعهم,"They lent him their ears, they listened to him"
قوابل,Beginnings
قوات برية وبحريه وجوية,"Ground, sea and air forces"
قوارص الكلمات,Biting words
قِوَام أهله,"The provider, or supporter of his family"
قوة احتياطية,Reserves (military)
قوة اإلرادة,Will power
قوة االستمرار,Inertia
قوة الصوت,"Volume, intensity (radio)"
قوة العارضة,Eloquence
قوة القانون,Legal force
القوة النابذة,Centrifugal force
قوة حافظة,Memory
قوة شراء,Purchasing power
قوة عاقلة,"Intellectual power, faculty of perception"
قوة على العمل,"Working power, output capacity"
قوة غاشمة,Brute force
قوة معنوية,"Moral strength, morale, spirit"
قوة نظامية,Regular army
قوس ق ُ زَح,Rainbow
قوسان,Parentheses (punctuation marks)
القول الفصل,"The last word, the final decision"
ًقوالً وعمال,By word and deed
ق ُ وَى البَط ْ ش,"Thugs, goon squads"
قوي الشكيمة,"Energetic, vigorous, active"
قَوِيُّ العارضة,"Eloquent, quick-witted"
قَوِيَ على,"To be able to cope with something, be able to do something"
قياس عالمي,World record
قياس فاسد,"Wrong inference, false conclusion, fallacy, sophism, paralogism"
قياسا ً على ذلك,"Analogy (with it), analogously (to it), correspondingly"
قِيام أهله,"The provider, or supporter of his family"
القيام بالعمل,"Performance, working, functioning"
قيد األسنان,Gums
قيد األنساب,"Genealogical tree, family tree"
قيد شعرة,"By a hair breadth, within a hair’s breadth"
قيل على لسانه ما,"He was supposed to have said things which, statements were ascribed to him which..."
قيل في المثل,The proverb says
كاتب السر,Private secretary
كاتب المحكمة,Court clerk
كاتب قصصي,"Writer, novelist"
كاتم السر,Secretary
كاد لِـ,"To harm by artful machinations, lay snares, conspire against someone"
كاد يموت,He almost died
كادَه,To deceive someone
ِكارتداد الطر ْ ف,"In the twinkling of an eye, instantly"
كارثة األمطار,"Natural catastrophe, torrential rains"
كأس التمويه,Overfull cup
كاسحة األلغام,Minesweeper
كَاشَحَهُ بالعداوة,To harbour hatred towards someone
كاشفه بالعداوة,To manifest open hostility towards someone
كافح أمورَه,To manage one’s affairs personally
كافح عن,"To defend something, fight for something"
كافر بالنعمة,Ungrateful
كال – بِـ,To compare by measuring
َ كال له الشتائم,To heap abuse on someone
كال له الصاع بصاعين,"To pay someone back twofold, bring double retaliation on someone"
كال له اللطمات,"To give someone a beating, thrash someone"
كاألول,"As before, as at the beginning, as from the outset"
كالسابق,As before
كالالزم,"As it must be, properly"
كالماء الجاري,"Fluently, smoothly, like clockwork"
كالمعتاد,As usual
كاله,"To measure something, to weigh something"
كامن,"Latent, hidden, concealed, secret"
( كان )يفعل,"Expressing duration in the past, ‘used to’, ‘would’"
كان أكبر شاغل له,It was his greatest worry
. . . كان األملُ معقودا ً أن,It was hoped that...
كان السبب فيه,"To be the cause of something, it was because of"
كان القوم بين صامت ومتكلم,Some of the group were silent and some were talking
كان إلى,"To be assigned to, be the lot or share of, be left to, be due (someone)"
كان باكورة أعماله,The first thing he did was...
كان بمنأى عن,"To keep away from, remain aloof from, not get involved in"
كان بمنجاة من,"To be safe from, be secure from, be safeguarded against"
. . . كان بودنا لو,We should be please if...
كان حُبْسا ً على,To be entirely dependent on
كان حديث عهد بأوروبا,He had not known Europe until recently
كان على,"To be incumbent on, be the duty of"
كان على أحرَّ من الجمر,"To be on tenterhooks, be in great suspense, be dying with curiosity"
كان على استعداد لِـ,"To be prepared, be set for, to be ready, willing, inclined, in a position to"
كان على الباطل,"To be on the wrong way, be wrong, be mistaken"
كان على الضد من ذلك,"To do or think the opposite, take an opposite stand"
كان على العكس من,"To be in contrast to that, be in opposition to"
كان على انتظاره,To wait for someone or something
كان على أوفاز,"To be on one’s toes, be on alert"
كان على بصيرة من,"To have insight into something, be informed about something"
كان على بيّنة من,"To be fully aware of, to be well- informed, up-to-date about"
كان على جانب عظيم من الكرم,To be very generous
كان على حق,"To be on the right way, have hit on the right thing, be right"
كان على خطأ,"To be on the wrong way, be wrong, be mistaken"
َكأن على رؤوسهم الطير,Motionless or silent with awe
كان على شاكلته,"To be of the same kind, of the same strain as something"
كان على علم بِـ,"To be informed about, be acquainted with"
كان على قسط كبير من,"To possess something (a quality, a characteristic) to a large extent, have a great deal of"
( كان على موعد معه )منه,To have an appointment with someone
كان على ميعاد مع,To have an appointment with
كان على نار,To be on pins and needles
كان على هدى,"To be on the right way, to embrace the true religion"
كان عند حسن الظن به,To have a good opinion of someone
كان عند حسن ظنه,"To meet, or be up to, someone’s high expectations"
كان عند نصحه,To follow someone’s advice
كان عندي في مقام والدي,"He assumed the responsibility of fatherhood for me, he is like a father to me"
كان غاية في الجمال,To be of extraordinary beauty
