Idiom,Meaning
산을 벗기다,산에 있는 나무를 다 베어 내다. 
산이 깊어야 범이 있다,「1」자기에게 덕망이 있어야 사람들이 따르게 됨을 비유적으로 이르는 말. 「2」일정한 바탕이나 조건이 갖추어져야 그것에 합당한 내용이 따르게 됨을 비유적으로 이르는 말. 
산이 높아야 골이 깊다,"산이 높고 커야 골짜기가 깊다는 뜻으로, 품은 뜻이 높고 커야 품은 포부나 생각도 크고 깊음을 비유적으로 이르는 말. "
산이 우니 돌이[산돼지가] 운다,"산이 우니 그 속에 있는 돌[산돼지]도 덩달아 운다는 뜻으로, 주관 없이 남이 하는 대로만 따라 행동함을 비유적으로 이르는 말. "
산이 울면 들이 웃고 들이 울면 산이 웃는다,"비가 와서 물이 지면 산은 사태가 나 형편없는 모양이 되지만 들은 오히려 농사가 잘되어 웃는 것 같고, 날이 가물어 들이 말라붙으면 오히려 산은 헐리지 아니하여 웃는 듯하다는 뜻으로, 우리나라의 산이 나무가 없이 벌거벗었음을 비유적으로 이르는 말. "
산이 커야 그늘이[굴이] 크다,"산이 높고 커야 골짜기가 깊다는 뜻으로, 품은 뜻이 높고 커야 품은 포부나 생각도 크고 깊음을 비유적으로 이르는 말. "
산자받다,산자를 엮어서 깔다. 
산젯밥에 청메뚜기 뛰어들듯,"산신에게 제사를 지내는데 메뚜기가 뛰어들었다는 뜻으로, 자기에게는 당치도 않은 일에 참여함을 비꼬는 말. "
산 좋고 물 좋고 정자 좋은 데 없다,자연의 경치와 인공의 운치가 모두 갖추어진 데는 없다는 말. 
산중 놈풋농사,"두메 화전의 어설픈 농사라는 뜻으로, 여름에는 잘된 듯 보이나 산짐승도 와서 뜯어 먹고 하여 추수할 때는 별 수확이 없게 되는 농사를 이르는 말. "
산중 놈은 도끼질 야지놈은 괭이질,사람은 각기 자신의 환경에 따라 하는 일이 다름을 비유적으로 이르는 말. 
산중 벌이하여[농사지어] 고라니 좋은 일 했다,"애써서 산속에 밭을 갈았더니 고라니가 내려와서 다 먹더라는 뜻으로, 기껏 고생하여 이루었으나 남만 좋은 일을 해 준 결과가 되었음을 비유적으로 이르는 말. "
산중에 거문고라,외딴 산속에 있는 거문고와 같이 어떤 자리에 전혀 어울리지 않는 것을 비유적으로 이르는 말. 
산지기가 놀고 중이 추렴을 낸다,"「1」놀기는 산지기가 놀았는데 그 값은 중이 문다는 뜻으로, 아무런 관련도 없는 남의 일로 부당하게 대가를 치름을 비유적으로 이르는 말. 「2」산지기가 산을 안 지키고 민간에 내려가서 행음을 하고 중이 불공은 안 드리고 술추렴을 한다는 뜻으로, 부당하거나 엉뚱한 짓을 함을 비유적으로 이르는 말. "
산지기 눈 봐라 도낏밥을 남 줄까,몹시 인색해 보이니 그에게 무엇을 얻을까 바라지도 말라는 말. 
산지기 눈치 보니 도끼 빼앗기겠다,눈치를 보니 손해만 입게 될 것 같으므로 일찌감치 정신을 차려야 한다는 말. 
산 진 거북이요 돌 진 가재[자라]라,"등이 납작하여 넘어질 위험이 없는 거북이와 가재, 또는 자라가 산과 돌을 각각 지었다는 뜻으로, 의지하고 있는 세력이 든든함을 비유적으로 이르는 말. "
산천 도망은 해도 팔자 도망은 못 한다,"비록 자연에서는 도망칠 수 있어도 정해진 팔자에서는 도망칠 수 없다는 뜻으로, 타고난 팔자란 어쩔 수 없음을 이르는 말. "
산토끼를 잡으려다가 집토끼를 놓친다,"「1」산돼지를 잡겠다고 욕심을 부리던 나머지 집돼지를 잘못 간수한 탓으로 잃어버리게 되었다는 뜻으로, 지나치게 욕심을 부리다가 이미 차지한 것까지 잃어버리게 됨을 비유적으로 이르는 말. 「2」새로운 일을 자꾸만 벌여 놓으면서 이미 있는 것을 챙기는 데에 소홀하면 도리어 손해를 봄을 비유적으로 이르는 말. "
산통깨다,다 잘되어 가던 일을 이루지 못하게 뒤틀다. 
산통이 깨지다,다 잘되어 가던 일이 뒤틀리다. 
산호 기둥에 호박 주추다,"귀한 산호로 기둥을 세우고 귀한 호박으로 주춧돌을 놓았다는 뜻으로, 매우 사치스럽고 호화롭게 꾸미고 삶을 비유적으로 이르는 말. "
산 호랑이 눈썹 ,"살아 있는 호랑이 눈썹을 찾는다는 뜻으로, 도저히 구할 수 없는 것을 구하려고 함을 비유적으로 이르는 말. "
산 호랑이 눈썹도 그리울 게 없다,"매우 귀한 산 호랑이의 눈썹까지도 그리울 게 없을 정도라는 뜻으로, 모든 것이 다 갖추어져 있어 무엇 하나 아쉬운 것이 없음을 비유적으로 이르는 말. "
산호 서 말 진주 서 말 싹이 나거든,"싹이 틀 수 없는 산호나 진주에, 그것도 서 말씩이나 되는 것이 다 싹이 나는 경우를 가정하여, 도저히 그 실현을 기약할 수 없음을 비유적으로 이르는 말. "
살박다,「1」흰떡 따위에 떡살로 무늬를 박다. 「2」유달리 정성을 들이다. 
살박아 치다,매우 세차게 때리다. 
살붙이다,바탕에 여러 가지를 덧붙여 보태다. 
살섞다,남녀가 성교(性交)하다. 
살잡다,기울어진 집 따위를 바로잡아 세우다. 
살가다,대수롭지 않은 일인데도 공교롭게 해를 입다. 
살깊다,몸의 어떤 부분에 살이 많이 붙어 있어서 살이 두껍다. 
살나가다,띠앗 없게 하는 기운이 떨어져 나가다. 
살내리다,「1」사람이나 물건 따위를 해치는 불길한 기운이 떨어져 나가다. 「2」띠앗 없게 하는 기운이 떨어져 나가다. 
살돋다,독살이 나다. 
살박히다,독살이 나타나다. 
살붙다,「1」사람이나 물건 따위를 해치는 불길한 기운이 들러붙다. 「2」띠앗 없게 하는 기운이 들러붙다. 
살세다,「1」일가친척 사이에 띠앗이 없다. 「2」운수가 나쁘다. 
살오르다,「1」사람이나 물건 따위를 해치는 불길한 기운이 들러붙다. 「2」띠앗 없게 하는 기운이 들러붙다. 
살잡히다,「1」구김살이 지다. 「2」살얼음이 얼다. 
살갑기는 평양 나막신,「1」신기에 편안한 평양 나막신처럼 붙임성이 있고 사근사근한 사람을 비유적으로 이르는 말. 「2」안쪽이 넓은 평양 나막신처럼 몸은 작은데 음식은 남보다 더 많이 먹는 사람을 비웃는 말. 
살강 밑에서 숟가락 얻었다[주웠다],「1」남이 빠뜨린 물건을 얻어서 횡재했다고 좋아하다 임자가 나타나 헛되이 좋아한 것이 됨을 비유적으로 이르는 말. 「2」대단치 아니한 일을 하여 놓고 성공이나 한 듯이 자랑함을 비유적으로 이르는 말. 
살결이 희면 열 허물 가린다,살결이 흰 사람은 대체로 아름다워 보인다는 말. 
살 구멍뚫다,살아갈 길을 찾아내다. 
살로 가다,먹은 것이 살이 되다. 
살림에는 눈이 보배,「1」살림을 잘하려면 눈썰미가 있어야 한다는 말. 「2」살림에는 낱낱이 살펴 보살피는 것이 제일이라는 말. 
살림은 오장 같다,"배 속의 오장이 모두 제 기능을 다해야 사람이 살아갈 수 있는 것처럼 아무리 많은 살림살이도 빠짐없이 모두 소용되기 마련이며, 또한 그 많은 살림살이가 모두 제 기능을 다하여 서로 손이 맞아떨어져야 함을 비유적으로 이르는 말. "
살림이 거덜이 나면 봄에 소를 판다,"생활이 몹시 쪼들리게 되면 한창 소를 부려야 할 바쁜 농사철인 봄에도 소를 팔게 된다는 뜻으로, 생활이 쪼들려 막다른 처지에 이르게 되면 아무리 긴요한 물건이라도 꺼리지 않고 팔게 된다는 말. "
살림이란 게 쓸 건 없어도 남 주워 갈 건 있다,하찮은 물건이라도 도둑이 집어 갈 것은 있기 마련이라는 말. 
살 맞은 뱀 같다,갑자기 몸을 빼고 달아나는 모양을 비유적으로 이르는 말. 
살살 기다,두려워 행동을 자유로이 하지 못하다. 
살손붙이다,정성을 다하여 힘껏 하다. 
살아가면 고손자한테도 배운다,배움에는 위아래가 없음을 비유적으로 이르는 말. 
살아가면 고향,"오래 살면서 정이 들면 곧 고향처럼 정다워진다는 뜻으로, 어느 곳이든지 마음을 붙이고 살아가면 고향과 같이 정이 든다는 말. "
살아날 사람은 약을 만난다,일이 잘될 사람은 불행한 처지에 있다가도 그 불행을 면할 수 있는 길이 열리기 마련임을 비유적으로 이르는 말. 
살아생이별은 생초목에 불붙는다,"살아 있으면서 서로 이별하는 것은 불이 잘 붙지 않는 생초목조차 불붙을 만큼 애간장이 타는 일이라는 뜻으로, 생이별은 차마 못 할 일임을 이르는 말. "
살얼음을 밟다,위태위태하여 마음이 몹시 불안하다. 
살얼음을 밟듯,겁이 나서 매우 조심스럽게. 
살은 쏘고 주워도 말은 하고 못 줍는다,"화살은 쏘아도 찾을 수 있으나 말은 다시 수습할 수 없다는 뜻으로, 말을 삼가야 한다는 말. "
살을 깎고 뼈를 갈다,몸이 야윌 만큼 몹시 고생하며 애쓰다. 
살을 떨다,몹시 무섭거나 격분하여 온몸을 떨다. 
살을 먹이다,화살을 활시위에 대고 활을 당기다. 
살을 박다,남을 공박하며 독살스럽게 말하다. 
살을 붙이고 살다,어떤 곳을 근거지로 삼아 눌러살다. 
살을 에고 소금 치는 소리,따끔하고 신랄한 말. 
살이 끼다,「1」사람이나 물건 따위를 해치는 불길한 기운이 들러붙다. 「2」띠앗 없게 하는 기운이 들러붙다. 
살이라도 베어 먹이다,제 몸의 살까지도 베어 먹일 만큼 알뜰히 보살펴 주다. 
살이 뻗치다,「1」사람이나 물건 따위를 해치는 불길한 기운이 들러붙다. 「2」띠앗 없게 하는 기운이 들러붙다. 
살이 살을 먹고 쇠가 쇠를 먹는다,"동포 형제나 가까운 이웃, 친척끼리 서로 해치려 함을 비유적으로 이르는 말. "
살이 서다,「1」사람이나 물건 따위를 해치는 불길한 기운이 들러붙다. 「2」띠앗 없게 하는 기운이 들러붙다. 
살인을 메다,살인죄를 뒤집어쓰다. 
살점을 베어 주고 싶다,무엇이나 다 아낌없이 주고 싶다. 
살찐 놈 따라 붓는다,"살찐 사람처럼 되느라 붓는다는 뜻으로, 남이 하는 짓을 무리하게 흉내 냄을 비웃는 말. "
삶아 논 녹비 끈,삶아서 이겨 놓은 노루 가죽끈처럼 아무런 반항도 없이 남이 시키는 대로만 움직이는 사람을 비유적으로 이르는 말. 
삶은 개고기 뜯어먹듯,"여기저기서 아무나 덤벼들어 함부로 뜯어먹으려 한다는 뜻으로, 사람을 여럿이 함부로 욕하고 모함한다는 말. "
삶은 개 다리 뒤틀리듯,일이 아주 뒤틀린 모양을 비유적으로 이르는 말. 
삶은 개 다리 버드러지듯,삶으면 빳빳하게 버드러지는 개 다리처럼 어떤 것이 빳빳한 모양을 비유적으로 이르는 말. 
삶은 닭이 울까,"죽여서 끓는 물에 삶아 낸 닭이 되살아나서 울 리 없다는 뜻으로, 이미 다 틀어진 일을 아무리 그 전대로 돌이키려고 하여도 소용이 없다는 말. "
삶은 소가 웃다가 꾸러미 째지겠다[터지겠다],"웃을 수 없는 삶은 소조차 너무도 어이없고 우스워서 한껏 입 벌리고 웃다가 꾸러미까지 터지고 말겠다는 뜻으로, 하는 품이 하도 어이없고 가소로움을 놀림조로 이르는 말. "
삶은 팥이 싹 나거든,"싹이 틀 수 없는 산호나 진주에, 그것도 서 말씩이나 되는 것이 다 싹이 나는 경우를 가정하여, 도저히 그 실현을 기약할 수 없음을 비유적으로 이르는 말. "
삶은 호박[무]에 이안 들 소리,"삶아 놓아서 물렁물렁한 호박[무]에 이빨이 안 들어갈 리가 없다는 뜻으로, 전혀 사리에 맞지 않는 말을 함을 비유적으로 이르는 말. "
삶은 호박에 침 박기,"「1」삶아서 물렁물렁해진 호박에 침을 박는다는 뜻으로, 일이 아주 쉬움을 이르는 말. 「2」어떤 자극을 주어도 아무런 반응이 없는 경우를 비유적으로 이르는 말. "
삼가르다,아이를 낳은 뒤에 탯줄을 끊다. 
삼각산 밑에서 짠물 먹는 놈,"인심 사나운 서울에서 먹고살아 온 놈이라는 뜻으로, 인색하고 매정한 사람을 이르는 말. "
삼각산 바람이 오르락내리락,"바람이 제멋대로 오르락내리락한다는 뜻으로, 거들먹거리면서 하는 일 없이 놀아나거나 출입이 잦음을 비웃는 말. "
삼간초가가 다 타도 빈대 죽어[타 죽는 것만] 좋다,비록 자기에게 큰 손해가 있더라도 제 마음에 들지 아니하던 것이 없어지는 것만은 상쾌하다는 말. 
삼경에 만난 액,"한밤중에 뜻밖에 액을 만났다는 뜻으로, 뜻밖에 불행한 일을 당하여 고스란히 다 겪게 됨을 이르는 말. "
삼국 시절에 났나 말은 굵게 한다,공연히 큰소리치며 허세를 부림을 이르는 말. 
삼남이 풍년이면 천하는 굶주리지 않는다,"「1」충청도, 전라도, 경상도 땅이 풍년이면 우리나라 사람은 굶주리지 않는다는 말. 「2」충청도, 전라도, 경상도 땅에 곡식이 많이 난다는 것을 비유적으로 이르는 말. "
삼 년 가뭄에는 살아도 석 달 장마에는 못 산다,가뭄 피해보다 장마 피해가 더 무서움을 이르는 말. 
삼 년 가뭄에 하루 쓸 날 없다,계속 날이 개어 있다가 무슨 일을 하려고 하는 날 공교롭게도 날씨가 궂어 일을 그르치는 경우를 비유적으로 이르는 말. 
삼 년 구병에 불효 난다,"병으로 여러 해 누워 앓는 어버이를 간호하다 보면 불효하는 경우가 생기게 된다는 뜻으로, 무슨 일이나 오랜 시일이 걸리거나 자꾸 되풀이되면 한결같이 정성을 다할 수는 없게 된다는 말. "
